set,group,exam,instance,NC,RF,RS,model,heuristic,config,dominance,solved,makespan,time,expand_number,generated_number,depth,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned,run_date,machine,source_file
j30,1,1,j301_1,1.5,0.25,0.2,TT,CP,base,False,True,43,0.519396,28427,184301,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,2,j301_2,1.5,0.25,0.2,TT,CP,base,False,True,47,3.68513,295365,1433819,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,3,j301_3,1.5,0.25,0.2,TT,CP,base,False,True,47,3.72566,362628,1622885,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,4,j301_4,1.5,0.25,0.2,TT,CP,base,False,True,62,228.128,6432334,31082819,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,5,j301_5,1.5,0.25,0.2,TT,CP,base,False,True,39,40.6919,2782624,13521140,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,6,j301_6,1.5,0.25,0.2,TT,CP,base,False,True,48,12.6964,1149196,4620661,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,7,j301_7,1.5,0.25,0.2,TT,CP,base,False,True,60,0.0101528,629,3388,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,8,j301_8,1.5,0.25,0.2,TT,CP,base,False,True,53,0.027478,1900,10418,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,9,j301_9,1.5,0.25,0.2,TT,CP,base,False,True,49,1.50846,74499,473630,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,1,10,j301_10,1.5,0.25,0.2,TT,CP,base,False,True,45,3.95234,292437,1540811,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,1,j302_1,1.5,0.25,0.5,TT,CP,base,False,True,38,0.731945,51530,257059,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,2,j302_2,1.5,0.25,0.5,TT,CP,base,False,True,51,7.50383,658718,3374093,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,3,j302_3,1.5,0.25,0.5,TT,CP,base,False,True,43,0.00356262,197,1120,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,4,j302_4,1.5,0.25,0.5,TT,CP,base,False,True,43,2.06282,173366,816267,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,5,j302_5,1.5,0.25,0.5,TT,CP,base,False,True,51,0.0110654,741,3723,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,6,j302_6,1.5,0.25,0.5,TT,CP,base,False,True,47,0.00401429,213,1050,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,7,j302_7,1.5,0.25,0.5,TT,CP,base,False,True,47,0.00724604,340,2180,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,8,j302_8,1.5,0.25,0.5,TT,CP,base,False,True,54,10.669,658333,3629369,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,9,j302_9,1.5,0.25,0.5,TT,CP,base,False,True,54,0.263975,16047,86528,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,2,10,j302_10,1.5,0.25,0.5,TT,CP,base,False,True,43,0.336604,19558,121825,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,1,j303_1,1.5,0.25,0.7,TT,CP,base,False,True,72,0.00049825,39,132,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,2,j303_2,1.5,0.25,0.7,TT,CP,base,False,True,40,0.344755,28213,135768,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,3,j303_3,1.5,0.25,0.7,TT,CP,base,False,True,57,0.0154619,1079,5721,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,4,j303_4,1.5,0.25,0.7,TT,CP,base,False,True,98,0.00161817,117,486,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,5,j303_5,1.5,0.25,0.7,TT,CP,base,False,True,53,3.49846,288988,1501922,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,6,j303_6,1.5,0.25,0.7,TT,CP,base,False,True,54,0.00139017,73,324,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,7,j303_7,1.5,0.25,0.7,TT,CP,base,False,True,48,0.00962225,503,3293,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,8,j303_8,1.5,0.25,0.7,TT,CP,base,False,True,54,0.00924896,442,2798,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,9,j303_9,1.5,0.25,0.7,TT,CP,base,False,True,65,18.342,1715283,7847092,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,3,10,j303_10,1.5,0.25,0.7,TT,CP,base,False,True,59,1.26261,140683,598714,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,1,j304_1,1.5,0.25,1.0,TT,CP,base,False,True,49,0.00145821,80,382,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,2,j304_2,1.5,0.25,1.0,TT,CP,base,False,True,60,0.00112167,69,292,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,3,j304_3,1.5,0.25,1.0,TT,CP,base,False,True,47,0.00400288,250,1283,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,4,4,j304_4,1.5,0.25,1.0,TT,CP,base,False,True,57,0.00349871,221,1030,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
