configuration,instances,solved,avg_time_solved_s,avg_expanded_solved
TT CP +dr,480,161,39.69,562058
TT LBCC,480,233,6.87,110386
TT LBCC +dr,480,135,52.49,449977
TT LBIP0 +dr,480,140,38.30,620928
TT LBMAX +dr,480,161,37.48,562058
TT LBCS,480,56,46.42,589432
TT LBCS +dr,480,158,42.33,491876
TT2 CP,480,182,8.75,402611
TT2 LBCC,480,179,10.44,255676
TT2 LBCC +dom+dr4,480,293,5.93,205393
TT2 LBIP0,480,183,8.49,400479
TT2 LBMAX,480,182,8.36,402611
TT2 LBMAX +dom,480,209,14.20,392910
TT2 LBMAX +dom+dr4,480,295,5.10,246843
TT2 LBCS,480,181,8.98,360773
TT2 LBCS +dom,480,208,14.67,337815
TT2 LBCS +dom+dr4,480,295,5.83,244877
