group,exam,time,finished,makespan,expand number,generated number,depth,true makespan,iyar solved,iyar time,iyar expanded,iyar generated,is makespan OK?,time- part,NC,RF,RS,time ratio,expand ratio,generated ratio
1,1,17.666,TRUE,43,22522,146507,33,43,TRUE,15.33251405,23547,151638,1,10-60 sec,1.5,0.25,0.2,1.152191998,0.956470039,0.966162835
1,2,80.2483,TRUE,47,131314,686470,33,47,TRUE,38.06799197,131889,687539,1,1-2 min,1.5,0.25,0.2,2.108025558,0.995640273,0.998445179
1,3,29.7139,TRUE,47,53171,245429,33,47,TRUE,14.89580417,53334,245991,1,10-60 sec,1.5,0.25,0.2,1.994783206,0.996943788,0.997715364
1,4,600.002,FALSE,0,414329,2197729,0,62,TRUE,496.5725155,923646,4584884,,Out of Range,1.5,0.25,0.2,,,
1,5,583.04,TRUE,39,478358,2411890,33,39,TRUE,252.0350289,483639,2439776,1,5-10 min,1.5,0.25,0.2,2.313329233,0.989080699,0.988570262
1,6,94.1739,TRUE,48,169837,728457,33,48,TRUE,75.9198885,170518,731309,1,1-2 min,1.5,0.25,0.2,1.240437807,0.996006287,0.996100144
1,7,0.299882,TRUE,60,453,2506,33,60,TRUE,0.526715517,581,3157,1,0-10 sec,1.5,0.25,0.2,0.569343394,0.779690189,0.793791574
1,8,1.02303,TRUE,53,1580,8746,33,53,TRUE,4.126763344,13793,56685,1,0-10 sec,1.5,0.25,0.2,0.247901301,0.114550859,0.154291259
1,9,38.5528,TRUE,49,45925,292224,33,49,TRUE,30.92261267,47624,303542,1,10-60 sec,1.5,0.25,0.2,1.246751056,0.96432471,0.962713562
1,10,28.0563,TRUE,45,46126,260266,33,45,TRUE,28.73928118,43683,245930,1,10-60 sec,1.5,0.25,0.2,0.976235273,1.055925646,1.05829301
2,1,9.57538,TRUE,38,16399,83340,33,38,TRUE,5.50338912,17562,88429,1,0-10 sec,1.5,0.25,0.5,1.739906045,0.933777474,0.942451006
2,2,32.5964,TRUE,51,60777,334109,33,51,TRUE,37.29900432,60776,334109,1,10-60 sec,1.5,0.25,0.5,0.873921452,1.000016454,1
2,3,0.133017,TRUE,43,183,1046,33,43,TRUE,0.201843023,185,1057,1,0-10 sec,1.5,0.25,0.5,0.659012127,0.989189189,0.989593188
2,4,12.6728,TRUE,43,22367,119455,33,43,TRUE,6.561744452,17408,96838,1,10-60 sec,1.5,0.25,0.5,1.931315688,1.284869026,1.233555009
2,5,0.397164,TRUE,51,577,2934,33,51,TRUE,0.507169485,601,3094,1,0-10 sec,1.5,0.25,0.5,0.783099165,0.960066556,0.948287007
2,6,0.118876,TRUE,47,196,967,33,47,TRUE,7.951996565,16326,71205,1,0-10 sec,1.5,0.25,0.5,0.014949202,0.01200539,0.013580507
2,7,0.253078,TRUE,47,295,1911,33,47,TRUE,0.368383884,297,1859,1,0-10 sec,1.5,0.25,0.5,0.686995308,0.993265993,1.027972028
2,8,127.872,TRUE,54,168092,1021568,33,54,TRUE,105.6875083,169649,1028869,1,2-5 min,1.5,0.25,0.5,1.209906469,0.990822227,0.992903859
2,9,6.98168,TRUE,54,9732,52716,33,54,TRUE,6.478299141,10793,56625,1,0-10 sec,1.5,0.25,0.5,1.077702627,0.901695543,0.930966887
2,10,3.68578,TRUE,43,4680,30132,33,43,TRUE,3.973354101,5138,32742,1,0-10 sec,1.5,0.25,0.5,0.927624346,0.910860257,0.920285871
3,1,0.0178533,TRUE,72,39,132,33,72,TRUE,0.053457499,38,130,1,0-10 sec,1.5,0.25,0.7,0.333971853,1.026315789,1.015384615
3,2,6.1777,TRUE,40,11359,57947,33,40,TRUE,7.048343658,12536,63292,1,0-10 sec,1.5,0.25,0.7,0.876475425,0.906110402,0.915550149
3,3,0.337931,TRUE,57,558,2952,33,57,TRUE,0.437474728,368,2150,1,0-10 sec,1.5,0.25,0.7,0.772458335,1.516304348,1.373023256
3,4,0.064158,TRUE,98,117,486,33,98,TRUE,0.250809908,194,899,1,0-10 sec,1.5,0.25,0.7,0.255803291,0.603092784,0.540600667
3,5,28.8555,TRUE,53,55266,275801,33,53,TRUE,30.43761301,55265,275801,1,10-60 sec,1.5,0.25,0.7,0.948021121,1.000018095,1
3,6,0.0441347,TRUE,54,73,324,33,54,TRUE,0.104140997,72,324,1,0-10 sec,1.5,0.25,0.7,0.423797556,1.013888889,1
3,7,0.259941,TRUE,48,323,2087,33,48,TRUE,0.063080788,79,409,1,0-10 sec,1.5,0.25,0.7,4.120763361,4.088607595,5.102689487
3,8,0.295873,TRUE,54,374,2368,33,54,TRUE,0.32542181,252,1533,1,0-10 sec,1.5,0.25,0.7,0.909198434,1.484126984,1.544683627
3,9,46.2634,TRUE,65,84114,412312,33,65,TRUE,47.18042636,83762,411236,1,10-60 sec,1.5,0.25,0.7,0.980563415,1.004202383,1.002616502
3,10,17.7601,TRUE,59,39723,186164,33,59,TRUE,18.87310863,37029,176211,1,10-60 sec,1.5,0.25,0.7,0.941026746,1.072753788,1.05648342
4,1,0.0363933,TRUE,49,61,280,33,49,TRUE,0.080618858,62,269,1,0-10 sec,1.5,0.25,1,0.451424157,0.983870968,1.040892193
4,2,0.0374511,TRUE,60,69,292,33,60,TRUE,0.089538574,68,292,1,0-10 sec,1.5,0.25,1,0.418267774,1.014705882,1
4,3,0.0797102,TRUE,47,133,669,33,47,TRUE,0.17471838,133,669,1,0-10 sec,1.5,0.25,1,0.456221034,1,1
4,4,0.118477,TRUE,57,181,877,33,57,TRUE,0.323638916,365,1828,1,0-10 sec,1.5,0.25,1,0.366077731,0.495890411,0.4797593
4,5,1.90656,TRUE,59,2342,15238,33,59,TRUE,1.820865154,1908,12928,1,0-10 sec,1.5,0.25,1,1.047062709,1.227463312,1.178681931
4,6,0.021274,TRUE,45,39,136,33,45,TRUE,0.121547937,111,466,1,0-10 sec,1.5,0.25,1,0.175025595,0.351351351,0.291845494
4,7,0.0643419,TRUE,56,101,495,33,56,TRUE,0.100777149,134,653,1,0-10 sec,1.5,0.25,1,0.638457236,0.753731343,0.758039816
4,8,0.054899,TRUE,55,74,348,33,55,TRUE,0.106004715,73,348,1,0-10 sec,1.5,0.25,1,0.517892058,1.01369863,1
4,9,1.75704,TRUE,38,2185,13959,33,38,TRUE,1.814030409,1729,10262,1,0-10 sec,1.5,0.25,1,0.968583543,1.263736264,1.360261158
4,10,0.108527,TRUE,48,231,888,33,48,TRUE,0.079031944,50,226,1,0-10 sec,1.5,0.25,1,1.373204232,4.62,3.92920354
5,1,600.012,FALSE,0,474087,2402388,0,53,TRUE,315.5057664,521494,2642840,,Out of Range,1.5,0.5,0.2,,,
5,2,600.006,FALSE,0,456798,2434735,0,82,FALSE,,,,,Out of Range,1.5,0.5,0.2,,,
