group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType
1,1,0.714919,True,43,22522,146507,33,TT,j30
1,2,2.52343,True,47,131314,686470,33,TT,j30
1,3,0.92737,True,47,53171,245429,33,TT,j30
1,4,16.5272,True,62,920023,4570080,33,TT,j30
1,5,8.54057,True,39,478358,2411890,33,TT,j30
1,6,2.41134,True,48,169837,728457,33,TT,j30
1,7,0.0244596,True,60,453,2506,33,TT,j30
1,8,0.0491603,True,53,1580,8746,33,TT,j30
1,9,1.42034,True,49,45925,292224,33,TT,j30
1,10,0.91264,True,45,46126,260266,33,TT,j30
2,1,0.356795,True,38,16399,83340,33,TT,j30
2,2,0.904074,True,51,60777,334109,33,TT,j30
2,3,0.0164311,True,43,183,1046,33,TT,j30
2,4,0.405229,True,43,22367,119455,33,TT,j30
2,5,0.0278769,True,51,577,2934,33,TT,j30
2,6,0.0160824,True,47,196,967,33,TT,j30
2,7,0.021484,True,47,295,1911,33,TT,j30
2,8,4.09288,True,54,168092,1021568,33,TT,j30
2,9,0.277345,True,54,9732,52716,33,TT,j30
2,10,0.137471,True,43,4680,30132,33,TT,j30
3,1,0.00369101,True,72,39,132,33,TT,j30
3,2,0.224265,True,40,11359,57947,33,TT,j30
3,3,0.02655,True,57,558,2952,33,TT,j30
3,4,0.00914118,True,98,117,486,33,TT,j30
3,5,0.843964,True,53,55266,275801,33,TT,j30
3,6,0.0075421,True,54,73,324,33,TT,j30
3,7,0.0205752,True,48,323,2087,33,TT,j30
3,8,0.026653,True,54,374,2368,33,TT,j30
3,9,1.23811,True,65,84114,412312,33,TT,j30
3,10,0.4918,True,59,39723,186164,33,TT,j30
4,1,0.00732028,True,49,61,280,33,TT,j30
4,2,0.0073772,True,60,69,292,33,TT,j30
4,3,0.0114778,True,47,133,669,33,TT,j30
4,4,0.0130445,True,57,181,877,33,TT,j30
4,5,0.0941105,True,59,2342,15238,33,TT,j30
4,6,0.00404003,True,45,39,136,33,TT,j30
4,7,0.00954789,True,56,101,495,33,TT,j30
4,8,0.00770358,True,55,74,348,33,TT,j30
4,9,0.0782181,True,38,2185,13959,33,TT,j30
4,10,0.0131748,True,48,231,888,33,TT,j30
5,1,14.3336,True,53,500540,2551907,33,TT,j30
5,2,300.0,False,0,12225151,58212459,0,TT,j30
5,3,300.0,False,0,13715346,61939836,0,TT,j30
5,4,122.067,True,63,3735638,22543359,33,TT,j30
5,5,300.0,False,0,13693969,58485903,0,TT,j30
5,6,31.054,True,64,787573,4828218,33,TT,j30
5,7,300.0,False,0,7975739,51361625,0,TT,j30
5,8,300.0,False,0,11121456,56034745,0,TT,j30
5,9,149.081,True,49,6351632,28738580,33,TT,j30
5,10,300.0,False,0,13808140,60736982,0,TT,j30
6,1,3.4065,True,59,135742,704300,33,TT,j30
6,2,8.78092,True,51,267551,1558718,33,TT,j30
6,3,0.549255,True,48,21836,111408,33,TT,j30
6,4,1.31241,True,42,43957,248577,33,TT,j30
6,5,10.798,True,67,651533,2557863,33,TT,j30
6,6,0.0454549,True,37,599,4326,33,TT,j30
6,7,7.84846,True,46,338045,1799407,33,TT,j30
6,8,0.809725,True,39,34210,186748,33,TT,j30
6,9,1.80829,True,51,60967,331807,33,TT,j30
6,10,0.714178,True,61,21999,121055,33,TT,j30
7,1,0.0108259,True,55,168,633,33,TT,j30
7,2,0.0239645,True,42,360,2097,33,TT,j30
7,3,0.024106,True,42,328,1847,33,TT,j30
7,4,0.198308,True,44,7596,39197,33,TT,j30
7,5,0.49145,True,44,18721,95236,33,TT,j30
7,6,0.0880359,True,35,2286,15437,33,TT,j30
7,7,0.0627401,True,50,2145,9845,33,TT,j30
7,8,0.270931,True,44,9322,53369,33,TT,j30
7,9,52.8846,True,60,4466984,14538960,33,TT,j30
7,10,40.9605,True,49,2714463,10377651,33,TT,j30
8,1,0.0055737,True,44,39,185,33,TT,j30
8,2,0.015314,True,51,224,1242,33,TT,j30
8,3,0.0617117,True,53,1430,9931,33,TT,j30
8,4,0.0122276,True,48,119,581,33,TT,j30
8,5,0.0125413,True,58,127,574,33,TT,j30
8,6,0.0148741,True,47,181,871,33,TT,j30
8,7,0.0114221,True,41,105,573,33,TT,j30
8,8,0.0337323,True,51,707,3756,33,TT,j30
8,9,0.0134666,True,39,102,626,33,TT,j30
8,10,0.0154421,True,67,143,744,33,TT,j30
9,1,300.0,False,0,6435510,39830301,0,TT,j30
9,2,300.0,False,0,8219854,44979932,0,TT,j30
9,3,105.106,True,68,2721150,14865266,33,TT,j30
9,4,300.0,False,0,7430984,45673921,0,TT,j30
9,5,300.0,False,0,9191583,44328765,0,TT,j30
9,6,300.0,False,0,8564893,46911485,0,TT,j30
9,7,300.0,False,0,7496995,43316452,0,TT,j30
9,8,300.0,False,0,8427922,43014695,0,TT,j30
9,9,300.0,False,0,8611065,42846396,0,TT,j30
9,10,300.0,False,0,7448900,43946677,0,TT,j30
10,1,16.1051,True,42,497719,2972809,33,TT,j30
10,2,8.88517,True,56,417097,1596614,33,TT,j30
10,3,300.0,False,0,12833080,55463648,0,TT,j30
10,4,13.1362,True,58,529766,2392991,33,TT,j30
10,5,22.3082,True,41,691754,3792530,33,TT,j30
10,6,76.398,True,44,2693599,13165936,33,TT,j30
10,7,1.14234,True,49,37044,203449,33,TT,j30
10,8,97.8381,True,56,3406722,17316502,33,TT,j30
10,9,0.00877178,True,49,155,801,33,TT,j30
10,10,52.1586,True,41,1697232,9345221,33,TT,j30
11,1,0.107914,True,54,3947,17518,33,TT,j30
11,2,0.0063054,True,56,146,556,33,TT,j30
11,3,0.568778,True,81,20206,92244,33,TT,j30
11,4,16.8283,True,63,701822,3203629,33,TT,j30
11,5,1.11657,True,49,34033,218244,33,TT,j30
11,6,0.0709953,True,44,1707,11168,33,TT,j30
11,7,2.4893,True,36,80516,454995,33,TT,j30
11,8,0.0262587,True,62,1701,6172,33,TT,j30
11,9,0.00436606,True,67,81,344,33,TT,j30
11,10,0.00561001,True,38,170,831,33,TT,j30
12,1,0.00135393,True,47,40,167,33,TT,j30
12,2,0.002077,True,46,55,269,33,TT,j30
12,3,0.00525087,True,37,179,916,33,TT,j30
12,4,0.00346102,True,63,92,480,33,TT,j30
12,5,0.0466375,True,47,1211,8262,33,TT,j30
12,6,0.0508696,True,53,2295,9923,33,TT,j30
12,7,0.0604075,True,55,2401,11476,33,TT,j30
12,8,0.0397742,True,35,838,6460,33,TT,j30
12,9,0.00209793,True,52,67,284,33,TT,j30
12,10,0.223834,True,57,7643,38695,33,TT,j30
13,1,300.0,False,0,5705748,37536634,0,TT,j30
13,2,300.0,False,0,5455331,37227886,0,TT,j30
13,3,300.0,False,0,6812563,41002579,0,TT,j30
13,4,300.0,False,0,7978622,39386509,0,TT,j30
13,5,300.0,False,0,5909763,37000636,0,TT,j30
13,6,301.349,False,0,5375798,35980509,0,TT,j30
13,7,300.0,False,0,6312041,39116583,0,TT,j30
13,8,300.003,False,0,6550935,40506030,0,TT,j30
13,9,300.0,False,0,6570717,37461550,0,TT,j30
13,10,300.0,False,0,5821644,39386473,0,TT,j30
14,1,63.4829,True,50,2759693,10083395,33,TT,j30
14,2,46.0454,True,53,1455371,6903848,33,TT,j30
14,3,22.4627,True,58,709684,3421319,33,TT,j30
14,4,135.445,True,53,3625998,19382558,33,TT,j30
14,5,0.350477,True,52,7400,48507,33,TT,j30
14,6,0.552235,True,35,12988,81837,33,TT,j30
14,7,79.6004,True,50,2243910,11995077,33,TT,j30
14,8,0.0114322,True,54,287,1603,33,TT,j30
14,9,300.0,False,0,8791640,44095354,0,TT,j30
14,10,7.86511,True,61,312368,1320767,33,TT,j30
15,1,0.14013,True,46,3170,17031,33,TT,j30
15,2,0.0602018,True,47,932,6730,33,TT,j30
15,3,0.0724317,True,48,3039,12511,33,TT,j30
15,4,0.0611624,True,48,1471,7740,33,TT,j30
15,5,11.6042,True,58,415026,1872951,33,TT,j30
15,6,0.00363077,True,67,96,465,33,TT,j30
15,7,0.0012164,True,47,34,135,33,TT,j30
15,8,59.1609,True,50,2869794,11137684,33,TT,j30
15,9,0.0145359,True,54,145,758,33,TT,j30
15,10,0.0218838,True,65,346,1779,33,TT,j30
16,1,0.116646,True,51,2869,13768,33,TT,j30
16,2,0.0137076,True,48,115,587,33,TT,j30
16,3,0.0104261,True,36,74,368,33,TT,j30
16,4,0.0103164,True,47,80,429,33,TT,j30
16,5,0.0209341,True,51,285,1556,33,TT,j30
16,6,0.013876,True,51,97,682,33,TT,j30
16,7,0.0148821,True,34,156,850,33,TT,j30
16,8,0.0150721,True,44,134,787,33,TT,j30
16,9,0.00947357,True,44,89,373,33,TT,j30
16,10,1.1136,True,51,43714,208971,33,TT,j30
17,1,37.8368,True,64,1999830,9367087,33,TT,j30
17,2,0.761806,True,68,47297,203642,33,TT,j30
17,3,0.00169365,True,60,58,229,33,TT,j30
17,4,0.167249,True,49,6245,35752,33,TT,j30
17,5,0.595352,True,47,28461,131709,33,TT,j30
17,6,0.00169487,True,63,46,196,33,TT,j30
17,7,0.232888,True,57,7869,43015,33,TT,j30
17,8,0.034239,True,61,1309,5625,33,TT,j30
17,9,0.357096,True,48,16452,76299,33,TT,j30
17,10,0.00215752,True,66,73,292,33,TT,j30
18,1,0.0480438,True,53,2011,10514,33,TT,j30
18,2,0.0545224,True,55,2205,11573,33,TT,j30
18,3,0.0212888,True,56,1144,4813,33,TT,j30
18,4,0.00808543,True,70,339,1426,33,TT,j30
18,5,0.0538521,True,52,2627,12153,33,TT,j30
18,6,0.396724,True,62,29430,114272,33,TT,j30
18,7,0.0257976,True,48,1166,5282,33,TT,j30
18,8,0.0203813,True,52,1445,5654,33,TT,j30
18,9,0.00535647,True,47,185,869,33,TT,j30
18,10,0.682078,True,49,38903,190741,33,TT,j30
19,1,0.093381,True,40,3937,19505,33,TT,j30
19,2,0.00539507,True,58,49,181,33,TT,j30
19,3,0.0369016,True,83,72,310,33,TT,j30
19,4,0.00648761,True,39,41,209,33,TT,j30
19,5,0.0330068,True,48,742,4084,33,TT,j30
19,6,0.103607,True,49,6797,27864,33,TT,j30
19,7,0.0606764,True,57,3738,14599,33,TT,j30
19,8,0.013842,True,55,183,786,33,TT,j30
19,9,0.0220652,True,38,337,1855,33,TT,j30
19,10,0.107748,True,47,5543,26360,33,TT,j30
20,1,0.0107792,True,57,131,565,33,TT,j30
20,2,0.00678249,True,70,73,275,33,TT,j30
20,3,0.00868618,True,49,83,378,33,TT,j30
20,4,0.00768036,True,43,53,273,33,TT,j30
20,5,0.00409534,True,61,38,124,33,TT,j30
20,6,0.00802907,True,51,55,266,33,TT,j30
20,7,0.00933361,True,42,94,382,33,TT,j30
20,8,0.00946467,True,51,106,461,33,TT,j30
20,9,0.0128095,True,41,100,547,33,TT,j30
20,10,0.00797889,True,37,73,309,33,TT,j30
21,1,21.6616,True,84,1299571,4735740,33,TT,j30
21,2,12.2788,True,59,492148,2071752,33,TT,j30
21,3,29.714,True,76,1526019,5644829,33,TT,j30
21,4,12.9421,True,77,511800,2049881,33,TT,j30
21,5,3.75599,True,55,114329,575362,33,TT,j30
21,6,167.121,True,76,7192337,30998840,33,TT,j30
21,7,8.20075,True,65,269126,1236537,33,TT,j30
21,8,22.5688,True,62,716680,3332500,33,TT,j30
21,9,300.0,False,0,11526517,50343374,0,TT,j30
21,10,12.0646,True,69,536199,2171778,33,TT,j30
22,1,0.0214759,True,42,519,2385,33,TT,j30
22,2,0.0413487,True,45,1387,6339,33,TT,j30
22,3,20.901,True,63,1297822,4274376,33,TT,j30
22,4,0.114442,True,42,4861,24251,33,TT,j30
22,5,15.6597,True,52,574989,2799905,33,TT,j30
22,6,4.33109,True,52,148570,753157,33,TT,j30
22,7,2.07661,True,60,78292,353315,33,TT,j30
