problem_id,group,exam,dp_nodes,dp_time,no_dp_nodes,no_dp_time,node_diff,dp_improvement_pct,winner
1:1,1,1,29933442,368.896,15058571,302.464,14874871,98.78,DP
1:2,1,2,30810486,300.0,19735065,300.0,11075421,56.12,DP
1:3,1,3,36564060,300.0,19905044,422.238,16659016,83.69,DP
1:4,1,4,23400515,300.0,18361419,307.673,5039096,27.44,DP
1:5,1,5,18692766,373.21,17868182,300.001,824584,4.61,DP
1:6,1,6,22357392,310.225,23751509,300.0,-1394117,-5.87,No-DP
1:8,1,8,30652702,300.0,21511781,323.882,9140921,42.49,DP
1:9,1,9,21570214,300.0,18886955,341.341,2683259,14.21,DP
1:10,1,10,26353699,300.0,20364885,300.0,5988814,29.41,DP
2:1,2,1,19919078,394.559,20334031,326.36,-414953,-2.04,No-DP
2:2,2,2,25570551,300.0,20745424,418.849,4825127,23.26,DP
2:4,2,4,29588303,300.0,21872728,322.629,7715575,35.27,DP
2:6,2,6,27164757,307.12,12316764,555.665,14847993,120.55,DP
2:8,2,8,18123600,300.0,18140204,300.0,-16604,-0.09,No-DP
2:9,2,9,29295529,356.21,20027384,300.0,9268145,46.28,DP
2:10,2,10,9086926,536.283,18157971,315.786,-9071045,-49.96,No-DP
3:2,3,2,26463350,300.0,20819429,300.0,5643921,27.11,DP
3:5,3,5,28007923,300.0,20969604,300.0,7038319,33.56,DP
3:9,3,9,24332011,300.0,8831384,670.183,15500627,175.52,DP
3:10,3,10,31869983,300.0,22490945,302.82,9379038,41.7,DP
4:9,4,9,20430551,316.819,20430551,322.788,0,0.0,Tie
5:1,5,1,5413749,645.588,16049399,1295.21,-10635650,-66.27,No-DP
5:2,5,2,16844965,300.0,2412075,1057.4,14432890,598.36,DP
5:3,5,3,18177058,1331.37,14453789,326.851,3723269,25.76,DP
5:4,5,4,10378989,798.552,17847255,300.0,-7468266,-41.85,No-DP
5:5,5,5,17626974,300.0,19715325,473.737,-2088351,-10.59,No-DP
5:6,5,6,23661659,300.0,9277442,858.115,14384217,155.05,DP
5:7,5,7,16036666,300.0,15011799,300.0,1024867,6.83,DP
5:8,5,8,13179567,851.722,16993897,377.634,-3814330,-22.45,No-DP
5:9,5,9,22521980,300.0,18515694,507.008,4006286,21.64,DP
5:10,5,10,4943212,489.931,9344833,983.796,-4401621,-47.1,No-DP
6:1,6,1,12195437,751.578,7619554,967.512,4575883,60.05,DP
6:2,6,2,12717575,968.466,6679288,937.824,6038287,90.4,DP
6:3,6,3,6575929,842.359,18271704,300.0,-11695775,-64.01,No-DP
6:4,6,4,8789533,964.966,17950838,300.003,-9161305,-51.04,No-DP
6:5,6,5,10351709,939.301,19990187,300.0,-9638478,-48.22,No-DP
6:7,6,7,26988962,300.0,18657298,383.965,8331664,44.66,DP
6:8,6,8,25281936,300.0,17686147,317.119,7595789,42.95,DP
6:9,6,9,16913343,300.0,16214188,300.001,699155,4.31,DP
6:10,6,10,19459506,442.252,15272886,305.78,4186620,27.41,DP
7:5,7,5,23696083,300.0,19322053,300.0,4374030,22.64,DP
7:7,7,7,25583123,300.0,3152051,924.869,22431072,711.63,DP
7:8,7,8,26477572,300.0,9744594,1070.78,16732978,171.72,DP
7:9,7,9,17010074,1060.08,9689930,952.349,7320144,75.54,DP
7:10,7,10,13819928,1070.79,9279831,1031.73,4540097,48.92,DP
9:1,9,1,3252827,917.456,1610102,930.304,1642725,102.03,DP
9:2,9,2,9105426,1030.45,8966265,1051.47,139161,1.55,DP
9:3,9,3,9464968,999.107,10456753,770.696,-991785,-9.48,No-DP
