group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
1,1,0.0229687,True,43,5564,17417,33,TT2,j30,LBCS_DP,4877,1071,225,13556
1,2,0.0297343,True,47,9026,26408,33,TT2,j30,LBCS_DP,6965,2440,1385,19934
1,3,0.0101705,True,47,3214,8309,33,TT2,j30,LBCS_DP,2370,429,631,3748
1,4,0.0835656,True,62,24436,75679,33,TT2,j30,LBCS_DP,33709,3926,2681,51037
1,5,0.096336,True,39,25644,87834,33,TT2,j30,LBCS_DP,41238,3594,1,33005
1,6,0.00759929,True,48,2263,6830,33,TT2,j30,LBCS_DP,2766,91,126,4372
1,7,0.000316208,True,60,62,183,33,TT2,j30,LBCS_DP,3,0,66,96
1,8,0.000551417,True,53,198,492,33,TT2,j30,LBCS_DP,7,0,108,320
1,9,0.024045,True,49,6117,20101,33,TT2,j30,LBCS_DP,7673,944,4,10214
1,10,0.00982283,True,45,3141,9220,33,TT2,j30,LBCS_DP,3404,404,223,4651
2,1,0.00291329,True,38,728,2428,33,TT2,j30,LBCS_DP,815,49,228,1104
2,2,0.0370882,True,51,12331,36380,33,TT2,j30,LBCS_DP,13986,1841,715,17078
2,3,0.000427709,True,43,101,304,33,TT2,j30,LBCS_DP,12,0,116,113
2,4,0.13515,True,43,40664,136280,33,TT2,j30,LBCS_DP,40856,15,11972,62418
2,5,0.000176791,True,51,33,117,33,TT2,j30,LBCS_DP,0,0,10,50
2,6,0.00017275,True,47,33,106,33,TT2,j30,LBCS_DP,0,0,12,46
2,7,0.000170542,True,47,34,100,33,TT2,j30,LBCS_DP,0,0,11,56
2,8,0.0229451,True,54,7761,22948,33,TT2,j30,LBCS_DP,7006,554,4,18238
2,9,0.0282728,True,54,8405,24024,33,TT2,j30,LBCS_DP,4729,1387,3317,10366
2,10,0.0100677,True,43,3280,8311,33,TT2,j30,LBCS_DP,1733,944,1156,6033
3,1,0.000190792,True,72,35,114,33,TT2,j30,LBCS_DP,0,0,12,31
3,2,0.0127382,True,40,3425,10311,33,TT2,j30,LBCS_DP,1890,47,1572,7525
3,3,0.000161667,True,57,33,91,33,TT2,j30,LBCS_DP,0,0,9,56
3,4,0.000173416,True,98,45,97,33,TT2,j30,LBCS_DP,1,0,13,40
3,5,0.0100485,True,53,3057,9237,33,TT2,j30,LBCS_DP,3526,392,573,4206
3,6,0.000182125,True,54,36,101,33,TT2,j30,LBCS_DP,0,0,9,44
3,7,0.000135917,True,48,33,91,33,TT2,j30,LBCS_DP,0,0,3,77
3,8,0.000145542,True,54,33,91,33,TT2,j30,LBCS_DP,0,0,7,53
3,9,0.0419688,True,65,15030,41166,33,TT2,j30,LBCS_DP,15801,1097,335,26971
3,10,0.11667,True,59,36763,122662,33,TT2,j30,LBCS_DP,43838,1460,5,48048
4,1,0.000186292,True,49,33,100,33,TT2,j30,LBCS_DP,0,0,13,42
4,2,0.000232708,True,60,77,173,33,TT2,j30,LBCS_DP,0,0,18,76
4,3,0.012399,True,47,2584,9709,33,TT2,j30,LBCS_DP,895,0,5105,4653
4,4,0.000169875,True,57,33,74,33,TT2,j30,LBCS_DP,0,0,16,54
4,5,0.000183667,True,59,33,98,33,TT2,j30,LBCS_DP,0,0,14,43
4,6,0.000159791,True,45,37,95,33,TT2,j30,LBCS_DP,0,0,11,48
4,7,0.00033575,True,56,33,128,33,TT2,j30,LBCS_DP,0,0,39,30
4,8,0.00017575,True,55,33,98,33,TT2,j30,LBCS_DP,0,0,11,38
4,9,0.00110871,True,38,430,1053,33,TT2,j30,LBCS_DP,109,0,207,629
4,10,0.000160583,True,48,33,92,33,TT2,j30,LBCS_DP,0,0,5,52
5,1,0.0686008,True,53,14974,50668,33,TT2,j30,LBCS_DP,16149,1467,5529,19590
5,2,0.0422869,True,82,12851,35986,33,TT2,j30,LBCS_DP,13509,1212,17,20640
5,3,0.0456348,True,76,12501,35895,33,TT2,j30,LBCS_DP,15605,1200,0,18890
5,4,0.816625,True,63,138047,526787,33,TT2,j30,LBCS_DP,240656,11544,8489,263974
5,5,0.0100921,True,76,2729,7683,33,TT2,j30,LBCS_DP,2360,100,0,3779
5,6,0.119123,True,64,19788,77031,33,TT2,j30,LBCS_DP,22744,1414,1555,45163
5,7,0.118921,True,76,32685,100139,33,TT2,j30,LBCS_DP,41593,2973,476,62556
5,8,0.0339962,True,67,8912,27764,33,TT2,j30,LBCS_DP,8193,581,0,14455
5,9,0.0743135,True,49,19743,58998,33,TT2,j30,LBCS_DP,20980,1965,2070,35215
5,10,0.0267914,True,70,7352,20597,33,TT2,j30,LBCS_DP,6113,699,9,10097
6,1,0.0946986,True,59,22110,77604,33,TT2,j30,LBCS_DP,22286,1337,477,19898
6,2,0.21398,True,51,46762,163179,33,TT2,j30,LBCS_DP,47146,3535,15365,88876
6,3,0.0304511,True,48,7753,21998,33,TT2,j30,LBCS_DP,5438,954,181,13697
6,4,0.188502,True,42,45418,124736,33,TT2,j30,LBCS_DP,30787,13039,1864,50068
6,5,0.0344228,True,67,10580,30391,33,TT2,j30,LBCS_DP,10991,1066,234,10192
6,6,0.00677913,True,37,870,3250,33,TT2,j30,LBCS_DP,503,218,832,1523
6,7,0.0543981,True,46,15208,42319,33,TT2,j30,LBCS_DP,8688,2826,2612,24160
6,8,0.276093,True,39,59551,239329,33,TT2,j30,LBCS_DP,51135,0,65750,102018
6,9,0.0127268,True,51,2884,8814,33,TT2,j30,LBCS_DP,2144,301,1315,4688
6,10,0.0442984,True,61,10341,31597,33,TT2,j30,LBCS_DP,7774,1622,18,15374
7,1,0.00100254,True,55,305,819,33,TT2,j30,LBCS_DP,17,0,337,315
7,2,0.000176458,True,42,33,92,33,TT2,j30,LBCS_DP,0,0,11,89
7,3,0.00105046,True,42,136,466,33,TT2,j30,LBCS_DP,40,2,74,227
7,4,0.000256291,True,44,39,138,33,TT2,j30,LBCS_DP,0,0,52,43
7,5,0.0557877,True,44,14027,41232,33,TT2,j30,LBCS_DP,9896,3445,898,16206
7,6,0.000271208,True,35,61,187,33,TT2,j30,LBCS_DP,0,0,28,192
7,7,0.00818167,True,50,1919,5919,33,TT2,j30,LBCS_DP,919,0,1807,3513
7,8,0.00561804,True,44,1367,4756,33,TT2,j30,LBCS_DP,1091,0,25,2646
7,9,0.0239668,True,60,8272,21275,33,TT2,j30,LBCS_DP,6987,1364,775,8235
7,10,0.0919291,True,49,28072,85732,33,TT2,j30,LBCS_DP,27243,3456,97,48505
8,1,0.000166667,True,44,33,98,33,TT2,j30,LBCS_DP,0,0,12,56
8,2,0.000203208,True,51,36,109,33,TT2,j30,LBCS_DP,0,0,29,65
8,3,0.000196792,True,53,33,115,33,TT2,j30,LBCS_DP,0,0,16,50
8,4,0.000156375,True,48,33,92,33,TT2,j30,LBCS_DP,0,0,4,70
8,5,0.000249834,True,58,58,159,33,TT2,j30,LBCS_DP,6,0,43,75
8,6,0.000335958,True,47,52,197,33,TT2,j30,LBCS_DP,1,0,70,61
8,7,0.000258667,True,41,41,152,33,TT2,j30,LBCS_DP,0,0,54,49
8,8,0.00015225,True,51,34,83,33,TT2,j30,LBCS_DP,0,0,15,45
8,9,0.00105567,True,39,141,655,33,TT2,j30,LBCS_DP,1,0,244,384
8,10,0.000141709,True,67,33,83,33,TT2,j30,LBCS_DP,0,0,4,42
9,1,0.934715,True,83,185967,691937,33,TT2,j30,LBCS_DP,307426,18636,0,248358
9,2,0.23065,True,92,55136,194074,33,TT2,j30,LBCS_DP,67400,3211,0,86702
9,3,0.165446,True,68,29269,112096,33,TT2,j30,LBCS_DP,35052,3016,0,42331
9,4,0.393146,True,71,76791,258396,33,TT2,j30,LBCS_DP,99468,6742,157,138716
9,5,0.0284105,True,70,8046,21664,33,TT2,j30,LBCS_DP,6208,635,313,13578
9,6,0.181172,True,59,35579,119698,33,TT2,j30,LBCS_DP,36999,3718,2,52326
9,7,0.538484,True,63,100052,325801,33,TT2,j30,LBCS_DP,122448,9884,22,167286
9,8,0.148902,True,91,34199,120094,33,TT2,j30,LBCS_DP,42976,2465,6881,43810
9,9,0.224843,True,63,52745,167976,33,TT2,j30,LBCS_DP,61724,4533,0,71574
9,10,0.393318,True,88,79559,265747,33,TT2,j30,LBCS_DP,93475,7369,3528,112808
10,1,0.203158,True,42,32554,111765,33,TT2,j30,LBCS_DP,18227,4,19941,100193
10,2,0.0128571,True,56,3065,8304,33,TT2,j30,LBCS_DP,2171,285,36,3362
10,3,0.444504,True,62,90269,282627,33,TT2,j30,LBCS_DP,62975,15913,80,98104
10,4,0.115073,True,58,17961,65144,33,TT2,j30,LBCS_DP,16560,1274,7341,18220
10,5,1.02843,True,41,124902,570473,33,TT2,j30,LBCS_DP,176444,189,12634,160386
10,6,0.121922,True,44,22800,81534,33,TT2,j30,LBCS_DP,26915,2173,1,33205
10,7,0.072516,True,49,10431,43870,33,TT2,j30,LBCS_DP,13537,842,6849,11813
10,8,0.162892,True,54,34099,109537,33,TT2,j30,LBCS_DP,29855,8190,7711,31882
10,9,0.000187708,True,49,33,94,33,TT2,j30,LBCS_DP,0,0,6,60
10,10,0.259127,True,41,41523,161263,33,TT2,j30,LBCS_DP,50291,5472,20095,58958
11,1,0.00451942,True,54,893,2636,33,TT2,j30,LBCS_DP,338,67,360,997
11,2,0.0106312,True,56,2390,7316,33,TT2,j30,LBCS_DP,913,2,28,2276
11,3,0.000174917,True,81,33,101,33,TT2,j30,LBCS_DP,0,0,0,31
11,4,0.19436,True,63,49262,136353,33,TT2,j30,LBCS_DP,35649,12454,15186,35394
11,5,0.0168236,True,49,2720,11851,33,TT2,j30,LBCS_DP,1798,24,2057,3874
11,6,0.00342792,True,44,562,1999,33,TT2,j30,LBCS_DP,56,0,1083,1595
11,7,0.739531,True,36,86362,393189,33,TT2,j30,LBCS_DP,116398,22,5553,101373
11,8,0.0125437,True,62,2731,9199,33,TT2,j30,LBCS_DP,1370,3,2277,2886
11,9,0.000262333,True,67,61,145,33,TT2,j30,LBCS_DP,0,0,29,64
11,10,0.00169092,True,38,413,1098,33,TT2,j30,LBCS_DP,32,0,244,674
12,1,0.000196875,True,47,36,111,33,TT2,j30,LBCS_DP,0,0,27,58
12,2,0.000215417,True,46,39,123,33,TT2,j30,LBCS_DP,1,0,36,64
12,3,0.000146625,True,37,33,79,33,TT2,j30,LBCS_DP,0,0,10,56
12,4,0.000242625,True,63,36,127,33,TT2,j30,LBCS_DP,0,0,39,37
12,5,0.000180542,True,47,33,112,33,TT2,j30,LBCS_DP,0,0,3,57
12,6,0.000179167,True,53,33,93,33,TT2,j30,LBCS_DP,0,0,13,53
12,7,0.000197,True,55,33,96,33,TT2,j30,LBCS_DP,0,0,8,48
12,8,0.000245375,True,35,33,124,33,TT2,j30,LBCS_DP,0,0,30,81
12,9,0.000233042,True,52,43,130,33,TT2,j30,LBCS_DP,0,0,52,45
12,10,0.000220167,True,57,33,119,33,TT2,j30,LBCS_DP,0,0,12,54
13,1,9.88974,True,58,1093049,3956002,33,TT2,j30,LBCS_DP,1761917,141469,534,1112678
13,2,2.19346,True,62,355123,1295031,33,TT2,j30,LBCS_DP,470663,34336,0,409122
13,3,0.840593,True,76,144624,539206,33,TT2,j30,LBCS_DP,201978,12216,0,145824
13,4,0.321803,True,72,57528,216918,33,TT2,j30,LBCS_DP,47656,4451,10,54873
13,5,4.42866,True,67,630471,2421432,33,TT2,j30,LBCS_DP,789614,89933,0,631175
13,6,3.82375,True,64,487495,2007023,33,TT2,j30,LBCS_DP,638737,65769,360,406192
13,7,0.552428,True,77,98373,358615,33,TT2,j30,LBCS_DP,101737,9136,7,95385
