Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
1,1,67,56.5294,67,67,68,57,1,5,11,20,199,3
1,2,88,48.2353,88,88,89,49,1,4,15,22,181,3
1,3,59,49.3529,59,59,60,50,1,4,11,20,202,3
1,4,76,64.25,76,76,76,65,1,4,13,23,189,3
1,5,84,49.8462,84,84,84,50,1,4,14,23,192,3
1,6,61,57.9231,61,61,68,58,1,4,10,23,191,3
1,7,83,58.7857,83,83,83,59,1,3,13,22,190,3
1,8,85,59.2857,85,85,88,60,1,3,14,21,180,3
1,9,66,50.1176,66,66,66,51,1,4,14,21,192,3
1,10,87,62.7857,87,87,87,63,1,4,16,23,201,3
2,1,96,32.9545,96,96,96,33,1,4,17,24,222,3
2,2,114,41.9444,114,114,114,42,1,4,18,21,184,2
2,3,75,36.7895,75,75,75,37,1,4,15,26,218,3
2,4,70,34.9259,70,70,70,35,1,3,15,20,186,3
2,5,100,40.9333,100,100,100,41,1,4,17,25,217,3
2,6,67,36.4,67,67,67,37,1,5,14,25,190,3
2,7,92,42.5263,92,92,92,43,1,4,15,23,211,3
2,8,82,38.1579,82,82,82,39,1,4,13,21,181,3
2,9,79,43.7931,79,79,79,44,1,4,13,23,211,3
2,10,80,50,80,80,80,50,1,4,15,24,201,3
3,1,81,40.72,81,81,81,41,1,4,16,24,190,3
3,2,84,27.7333,84,84,84,28,1,4,13,27,224,3
3,3,71,27.2143,71,71,71,28,1,5,16,25,216,3
3,4,104,39.5652,104,104,104,40,1,3,16,22,191,3
3,5,75,28.2857,75,75,75,29,1,4,15,23,213,3
3,6,68,28.7037,68,68,68,29,1,4,15,29,209,3
3,7,87,33.4783,87,87,87,34,1,4,15,23,184,2
3,8,86,35.5217,86,86,86,36,1,4,16,25,188,3
3,9,61,26.0435,61,61,61,27,1,4,12,20,185,3
3,10,65,29,65,65,65,29,1,4,15,24,217,3
4,1,93,27.7273,93,93,93,28,1,3,17,21,184,3
4,2,89,31.05,89,89,89,32,1,3,12,21,179,3
4,3,67,20.4737,67,67,67,21,1,4,21,25,208,3
4,4,92,28.76,92,92,92,29,1,4,15,22,185,2
4,5,88,35.6364,88,88,88,36,1,4,16,24,199,2
4,6,78,25.7059,78,78,78,26,1,4,13,21,185,3
4,7,80,29.6923,80,80,80,30,1,4,16,23,220,3
4,8,69,29.625,69,69,69,30,0,4,13,21,200,3
4,9,79,25.8333,79,79,79,26,1,3,12,21,195,3
4,10,68,16.5435,68,68,68,17,0,3,13,20,186,3
5,1,66,70.5238,66,71,69,71,0,10,16,24,287,5
5,2,90,76.1053,90,90,90,77,0,7,14,24,283,5
5,3,62,76.1429,62,79,62,77,1,7,12,23,278,5
5,4,90,86.1053,90,90,90,87,1,7,17,27,317,6
5,5,79,98.7647,79,99,79,99,1,7,16,28,298,5
5,6,75,70.6842,75,75,76,71,1,6,15,25,272,5
5,7,79,96.5,79,100,81,97,1,7,15,29,316,6
5,8,75,82.8889,75,86,75,83,1,7,17,27,303,5
5,9,94,95.8421,94,99,96,96,1,7,17,28,280,5
5,10,78,87.65,78,89,78,88,0,6,13,25,279,5
6,1,82,43.4348,82,82,82,44,1,7,17,29,282,5
6,2,86,47.6923,86,86,86,48,1,7,19,29,280,5
6,3,75,56.5806,75,75,75,57,1,6,12,24,278,5
6,4,80,48.4054,80,80,80,49,1,6,15,28,327,6
6,5,71,50.8286,71,71,71,51,1,6,13,24,309,5
6,6,98,50.6061,98,98,98,51,1,6,16,24,278,5
6,7,71,51.7241,71,71,71,52,1,6,13,24,275,5
6,8,67,55.1562,67,67,67,56,1,6,12,24,284,5
6,9,68,38.2,68,68,68,39,1,7,15,26,306,5
6,10,94,49.931,94,94,94,50,1,7,17,28,298,5
7,1,88,32.9773,88,88,88,33,1,7,19,28,316,5
7,2,77,30.6316,77,77,77,31,1,6,15,24,281,5
7,3,80,52.3939,80,80,80,53,1,7,16,29,280,5
7,4,86,47.1852,86,86,86,48,0,5,16,24,279,5
7,5,79,44.8438,79,79,79,45,1,6,13,26,273,5
7,6,90,42.3333,90,90,90,43,1,6,14,25,284,5
7,7,90,42.8065,90,90,90,43,1,6,12,24,277,5
7,8,60,29.1633,60,60,60,30,1,7,14,28,329,6
7,9,83,46.5143,83,83,83,47,1,6,14,25,273,5
7,10,98,49.6296,98,98,98,50,1,5,16,25,276,5
8,1,96,38.4706,96,96,96,39,1,7,18,28,305,5
8,2,78,34.825,78,78,78,35,1,7,18,29,316,6
8,3,70,25.9388,70,70,70,26,1,7,14,28,328,6
8,4,77,33.8286,77,77,77,34,1,6,14,25,278,5
8,5,63,25.8333,63,63,63,26,1,6,14,27,319,6
8,6,70,33.4773,70,70,70,34,1,7,16,27,320,5
8,7,77,31.814,77,77,77,32,1,6,15,24,286,5
8,8,68,25.2667,68,68,68,26,0,6,11,23,291,5
8,9,97,33.4151,97,97,97,34,1,6,14,24,290,5
8,10,88,27.6889,88,88,88,28,0,6,15,27,285,5
9,1,80,90,80,92,80,90,0,8,15,30,313,5
9,2,92,112.947,92,113,92,113,1,9,16,29,347,6
9,3,67,94.4762,67,95,67,95,0,7,13,25,317,5
9,4,81,101.85,81,109,81,102,1,8,15,29,327,5
9,5,89,121.579,89,122,92,122,1,9,15,32,352,5
9,6,88,103.85,88,110,89,104,1,8,15,26,348,5
9,7,74,100.636,74,101,74,101,1,7,14,25,315,5
9,8,75,107.278,75,108,75,108,1,8,14,28,360,5
9,9,77,101.773,77,102,77,102,1,8,16,31,352,5
9,10,77,99.4091,77,100,77,100,0,7,14,26,313,5
10,1,77,50.15,77,77,77,51,1,9,14,30,361,6
10,2,95,68.075,95,95,95,69,1,7,17,26,307,5
10,3,112,62.6,112,112,112,63,1,7,16,26,315,5
10,4,94,49.383,94,94,94,50,1,8,17,29,357,6
10,5,78,47.2273,78,78,78,48,1,9,18,27,336,5
10,6,92,52.1724,92,92,92,53,1,8,20,29,354,5
10,7,83,54.75,83,83,83,55,1,8,15,25,366,5
10,8,81,58.4444,81,81,81,59,1,7,14,26,315,5
10,9,88,65.375,88,88,88,66,1,8,15,25,300,5
10,10,75,56.6071,75,75,75,57,1,7,13,25,325,6
11,1,86,48.4091,86,86,86,49,0,7,14,27,312,5
11,2,99,61.7879,99,99,99,62,0,7,16,27,310,5
11,3,69,42.1818,69,69,69,43,1,8,11,25,315,6
11,4,64,42,64,64,64,42,1,8,12,26,320,5
11,5,81,41.098,81,81,81,42,1,7,16,25,304,5
11,6,78,44.3077,78,78,78,45,1,7,14,26,304,5
11,7,95,49.5778,95,95,95,50,1,8,16,27,301,5
11,8,82,47.6829,82,82,82,48,1,8,16,29,323,5
11,9,81,46,81,81,81,46,1,8,15,29,319,5
11,10,81,46.4318,81,81,81,47,1,9,16,30,339,5
12,1,71,30.0857,71,71,71,31,1,9,17,27,323,5
12,2,71,24.325,71,71,71,25,1,7,14,25,308,5
12,3,93,32.5455,93,93,93,33,1,8,17,30,381,6
12,4,73,29.65,73,73,73,30,1,8,13,29,319,4
12,5,83,28.7215,83,83,83,29,0,7,14,25,312,5
12,6,81,31.3115,81,81,81,32,1,8,17,27,368,6
12,7,77,39.6557,77,77,77,40,1,9,15,27,359,6
12,8,83,28.0247,83,83,83,29,0,7,14,25,311,4
12,9,77,29.9136,77,77,77,30,1,8,12,25,300,5
12,10,86,31.3231,86,86,86,32,1,8,17,27,307,5
13,1,82,120.55,82,121,82,121,0,8,15,27,294,3
13,2,77,110.958,77,111,77,111,1,8,14,26,297,3
13,3,80,101.692,80,102,80,102,1,9,15,29,327,3
