Group,Exam,LBER,CP
1,1,77,77
1,2,66,65
1,3,68,67
1,4,91,79
1,5,70,68
1,6,66,52
1,7,67,60
1,8,72,71
1,9,84,75
1,10,80,76
2,1,65,65
2,2,82,82
2,3,78,77
2,4,78,78
2,5,53,53
2,6,64,61
2,7,53,49
2,8,66,66
2,9,65,65
2,10,69,64
3,1,60,60
3,2,69,69
3,3,105,102
3,4,81,81
3,5,83,83
3,6,57,57
3,7,59,58
3,8,52,52
3,9,67,63
3,10,69,67
4,1,84,84
4,2,60,60
4,3,58,58
4,4,65,65
4,5,75,75
4,6,71,71
4,7,67,67
4,8,65,65
4,9,75,75
4,10,77,77
5,1,69,59
5,2,89,76
5,3,75,59
5,4,62,53
5,5,89,79
5,6,70,64
5,7,64,51
5,8,69,65
5,9,82,82
5,10,79,68
6,1,60,60
6,2,66,66
6,3,72,72
6,4,67,67
6,5,78,78
6,6,53,53
6,7,60,60
6,8,72,72
6,9,64,64
6,10,74,74
7,1,77,77
7,2,85,85
7,3,62,62
7,4,63,63
7,5,71,71
7,6,65,65
7,7,89,89
7,8,66,66
7,9,44,44
7,10,82,82
8,1,64,64
8,2,61,61
8,3,79,79
8,4,64,64
8,5,83,83
8,6,56,56
8,7,62,62
8,8,66,66
8,9,58,58
8,10,97,97
9,1,81,59
9,2,73,71
9,3,86,65
9,4,78,65
9,5,76,52
9,6,95,90
9,7,98,74
9,8,86,65
9,9,89,80
9,10,84,65
10,1,85,85
10,2,62,62
10,3,72,72
10,4,80,80
10,5,79,79
10,6,67,67
10,7,69,69
10,8,65,64
10,9,73,73
10,10,73,73
11,1,71,71
11,2,61,61
11,3,76,76
11,4,69,69
11,5,65,65
11,6,70,70
11,7,70,70
11,8,69,69
11,9,62,62
11,10,58,58
12,1,59,59
12,2,58,58
12,3,75,75
12,4,69,69
12,5,63,63
12,6,54,54
12,7,71,71
12,8,60,60
12,9,59,59
12,10,79,79
13,1,102,69
13,2,101,66
13,3,82,57
13,4,94,62
13,5,89,53
13,6,90,61
13,7,78,54
13,8,110,69
13,9,92,67
13,10,111,63
14,1,59,59
14,2,65,65
14,3,61,61
14,4,65,65
14,5,59,59
14,6,65,65
14,7,69,69
14,8,88,88
14,9,61,61
14,10,67,67
15,1,84,84
15,2,89,89
15,3,72,72
15,4,75,75
15,5,70,70
15,6,76,76
15,7,64,64
15,8,79,79
15,9,72,72
15,10,61,61
16,1,64,64
16,2,64,64
16,3,53,53
16,4,60,60
16,5,66,66
16,6,66,66
16,7,82,82
16,8,68,68
16,9,54,54
16,10,68,68
17,1,83,76
17,2,69,67
17,3,85,79
17,4,70,69
17,5,58,52
17,6,68,67
17,7,81,81
17,8,81,66
17,9,75,70
17,10,68,65
18,1,81,80
18,2,69,69
18,3,77,77
18,4,71,71
18,5,80,80
18,6,61,61
18,7,91,87
18,8,78,78
18,9,69,69
18,10,97,97
19,1,62,62
19,2,83,83
19,3,83,81
19,4,67,67
19,5,73,73
19,6,69,68
19,7,60,60
19,8,87,82
19,9,69,67
19,10,78,78
20,1,60,60
20,2,78,78
20,3,69,69
20,4,86,86
20,5,71,71
20,6,97,97
20,7,74,74
20,8,65,65
20,9,74,74
20,10,70,70
21,1,86,76
21,2,101,92
21,3,71,65
21,4,78,64
21,5,76,75
21,6,73,63
21,7,89,80
21,8,93,85
21,9,73,69
21,10,71,51
22,1,62,62
22,2,83,83
22,3,70,70
22,4,69,64
22,5,76,76
22,6,79,79
22,7,69,69
22,8,59,59
22,9,65,65
22,10,70,69
23,1,75,75
23,2,69,69
23,3,78,75
23,4,83,83
23,5,72,72
23,6,81,81
23,7,60,60
23,8,72,72
23,9,64,64
23,10,68,68
24,1,65,65
24,2,55,55
24,3,67,67
24,4,78,78
24,5,76,76
24,6,75,75
24,7,68,68
24,8,81,81
24,9,80,80
24,10,66,66
25,1,94,71
25,2,84,69
25,3,98,90
25,4,91,78
25,5,81,61
25,6,97,75
25,7,76,66
25,8,86,57
25,9,82,69
25,10,97,77
26,1,80,80
26,2,63,63
26,3,71,71
26,4,65,65
26,5,61,61
26,6,73,73
26,7,72,72
26,8,89,89
26,9,62,62
26,10,85,85
27,1,96,96
27,2,74,74
27,3,76,76
27,4,60,60
27,5,78,78
27,6,64,64
27,7,83,83
27,8,88,88
27,9,76,76
27,10,57,57
28,1,92,92
28,2,64,64
28,3,72,72
28,4,84,84
28,5,71,71
28,6,89,89
28,7,75,75
28,8,62,62
28,9,74,74
28,10,74,74
29,1,93,59
29,2,109,88
29,3,109,72
29,4,115,75
29,5,96,77
29,6,140,77
29,7,108,73
29,8,92,72
29,9,96,70
29,10,107,70
30,1,70,70
30,2,66,65
30,3,80,80
30,4,76,76
30,5,72,72
30,6,68,68
30,7,80,77
30,8,63,63
30,9,98,98
30,10,81,81
31,1,65,65
31,2,74,74
31,3,66,66
