group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.778452,True,43,21119,82949,33,TT,j30,LBCC_DP,7331,46512,1441,176
1,2,1.23707,True,47,58532,162976,33,TT,j30,LBCC_DP,27942,104070,21720,8620
1,3,0.425177,True,47,25715,51033,33,TT,j30,LBCC_DP,6699,39161,4701,5786
1,4,12.2716,True,62,440466,1149009,33,TT,j30,LBCC_DP,165059,916133,123468,15332
1,5,4.38831,True,39,183695,435924,33,TT,j30,LBCC_DP,81651,407704,19853,591
1,6,1.22869,True,48,74289,147345,33,TT,j30,LBCC_DP,28013,152221,17118,2204
1,7,0.0267857,True,60,1139,3737,33,TT,j30,LBCC_DP,465,2447,0,0
1,8,0.28851,True,53,16469,40771,33,TT,j30,LBCC_DP,12602,26906,2247,0
1,9,0.790729,True,49,25113,93447,33,TT,j30,LBCC_DP,9448,51628,6853,1355
1,10,0.460888,True,45,21191,61130,33,TT,j30,LBCC_DP,11920,49193,5423,364
2,1,0.164605,True,38,5975,21397,33,TT,j30,LBCC_DP,3162,10627,2926,96
2,2,0.471863,True,51,32363,59869,33,TT,j30,LBCC_DP,9420,104295,4432,3301
2,3,0.00916135,True,43,249,1003,33,TT,j30,LBCC_DP,105,402,4,0
2,4,0.268459,True,43,12264,31923,33,TT,j30,LBCC_DP,5941,34794,2201,0
2,5,0.00875855,True,51,474,1079,33,TT,j30,LBCC_DP,194,1453,4,0
2,6,0.0789133,True,47,5181,10112,33,TT,j30,LBCC_DP,1572,11270,113,0
2,7,0.0244458,True,47,964,2756,33,TT,j30,LBCC_DP,340,2331,2,0
2,8,1.39838,True,54,61759,163534,33,TT,j30,LBCC_DP,25296,150569,8315,7963
2,9,0.171861,True,54,5675,18222,33,TT,j30,LBCC_DP,1680,9350,515,485
2,10,0.110765,True,43,3694,13952,33,TT,j30,LBCC_DP,1828,7574,92,152
3,1,0.0046257,True,72,349,563,33,TT,j30,LBCC_DP,106,630,0,0
3,2,0.210397,True,40,10975,26461,33,TT,j30,LBCC_DP,6730,18719,353,648
3,3,0.00597397,True,57,330,660,33,TT,j30,LBCC_DP,92,933,0,0
3,4,0.128931,True,98,9641,15593,33,TT,j30,LBCC_DP,4876,24476,63,0
3,5,0.483643,True,53,28899,61379,33,TT,j30,LBCC_DP,8577,89061,6300,267
3,6,0.0065761,True,54,215,659,33,TT,j30,LBCC_DP,131,282,0,0
3,7,0.0815226,True,48,4226,9573,33,TT,j30,LBCC_DP,2298,12515,31,0
