group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,6.45739,True,77,157158,716057,63,TT,j60,LBCS_DP,129668,396260,38293,6
1,2,300,False,0,2759999,23581127,0,TT,j60,LBCS_DP,2077372,8968052,2004291,11519
1,3,17.9703,True,68,221799,1285137,63,TT,j60,LBCS_DP,143438,553673,23158,20
1,4,300,False,0,4437227,22916367,0,TT,j60,LBCS_DP,3755270,16160387,1636634,0
1,5,300,False,0,3585814,20901663,0,TT,j60,LBCS_DP,2240662,11376456,1019680,9706
1,6,300,False,0,2256063,19557987,0,TT,j60,LBCS_DP,1226107,4399893,840959,0
1,7,300,False,0,2624709,21478195,0,TT,j60,LBCS_DP,1505764,7969651,882204,129622
1,8,300,False,0,3152790,19920486,0,TT,j60,LBCS_DP,2272195,9509061,1110195,0
1,9,300,False,0,3242009,21236437,0,TT,j60,LBCS_DP,3655088,8577495,1307588,600
1,10,300,False,0,5297329,20313270,0,TT,j60,LBCS_DP,3121475,18328262,1179482,6002
2,1,5.85514,True,65,92007,517740,63,TT,j60,LBCS_DP,40321,461957,1946,0
2,2,0.273955,True,82,5401,24786,63,TT,j60,LBCS_DP,3258,21247,953,0
2,3,300,False,0,4610829,21013568,0,TT,j60,LBCS_DP,2262801,18012426,1680703,2508
2,4,0.390901,True,78,5692,27996,63,TT,j60,LBCS_DP,4149,16276,944,0
2,5,300,False,0,4497421,24022338,0,TT,j60,LBCS_DP,4882091,21779345,1373484,24876
2,6,300,False,0,3497989,20078429,0,TT,j60,LBCS_DP,2478917,17608908,296488,0
2,7,300,False,0,3702587,23546927,0,TT,j60,LBCS_DP,2129044,21068413,447654,135046
2,8,22.2619,True,66,343305,1794525,63,TT,j60,LBCS_DP,242148,1874146,35207,0
2,9,2.37265,True,65,29963,171614,63,TT,j60,LBCS_DP,30872,156445,3009,0
2,10,101.595,True,69,1142769,7925208,63,TT,j60,LBCS_DP,650433,4946219,199782,1449
3,1,0.0722963,True,60,1007,5729,63,TT,j60,LBCS_DP,1088,1949,81,0
3,2,40.0406,True,69,671759,3687862,63,TT,j60,LBCS_DP,299623,2984678,175671,1391
3,3,300,False,0,8247080,23422369,0,TT,j60,LBCS_DP,901973,53830210,1653556,0
3,4,61.787,True,81,1996958,5071388,63,TT,j60,LBCS_DP,590383,12174013,279333,20
3,5,3.61832,True,83,76650,291709,63,TT,j60,LBCS_DP,27369,403042,5372,0
3,6,2.36911,True,57,52860,237566,63,TT,j60,LBCS_DP,30430,216740,3954,0
3,7,300,False,0,5966981,21283652,0,TT,j60,LBCS_DP,2683739,26994208,546858,543
3,8,300,False,0,3604317,23290050,0,TT,j60,LBCS_DP,2799997,14677099,1118193,1808
3,9,300,False,0,9465740,26145424,0,TT,j60,LBCS_DP,5304216,55049125,3690227,2
3,10,99.9333,True,69,1748550,8211332,63,TT,j60,LBCS_DP,1079141,6308693,647672,236620
4,1,101.083,True,84,2739564,7354131,63,TT,j60,LBCS_DP,866986,22776256,138816,0
4,2,15.7614,True,60,427793,1377174,63,TT,j60,LBCS_DP,176856,2537406,45041,604
4,3,300,False,0,12565607,23602815,0,TT,j60,LBCS_DP,4761483,106063403,30088,0
4,4,0.108422,True,65,3774,11038,63,TT,j60,LBCS_DP,1842,15090,24,0
4,5,0.046759,True,75,1253,4241,63,TT,j60,LBCS_DP,498,4434,0,0
4,6,3.88474,True,71,90120,278040,63,TT,j60,LBCS_DP,49427,580932,2728,0
4,7,121.385,True,67,2612512,9019700,63,TT,j60,LBCS_DP,3213139,19908993,236790,0
4,8,132.063,True,65,3558334,10341874,63,TT,j60,LBCS_DP,1960346,28545709,334844,0
4,9,4.48304,True,75,243101,371001,63,TT,j60,LBCS_DP,86763,1580833,13036,60
4,10,196.919,True,77,4140963,11215331,63,TT,j60,LBCS_DP,1657697,18404108,481337,432
5,1,300,False,0,1952588,18575489,0,TT,j60,LBCS_DP,1437683,3067564,932504,12112
5,2,300,False,0,2430034,17448217,0,TT,j60,LBCS_DP,1595668,4791006,1488964,125723
5,3,300,False,0,1848957,13791026,0,TT,j60,LBCS_DP,1013649,3282240,623664,6477
5,4,300,False,0,1329347,15633059,0,TT,j60,LBCS_DP,859742,1797457,296255,134
5,5,300,False,0,1339532,9248461,0,TT,j60,LBCS_DP,809310,1128397,364136,49427
5,6,300,False,0,1476648,15357549,0,TT,j60,LBCS_DP,1098133,1634134,490892,1709
