group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.109916,True,43,4535,17053,33,TT,j30,LBIP0_DP,1823,8177,82,0
1,2,1.064,True,47,58532,162976,33,TT,j30,LBIP0_DP,27942,104070,21720,8620
1,3,0.0798324,True,47,5480,14639,33,TT,j30,LBIP0_DP,1956,9464,583,0
1,4,12.3213,True,62,466654,1189281,33,TT,j30,LBIP0_DP,172819,965308,123477,25197
1,5,7.75755,True,39,332555,772227,33,TT,j30,LBIP0_DP,138551,788469,55745,3329
1,6,1.10779,True,48,81210,154851,33,TT,j30,LBIP0_DP,28864,156595,15282,6490
1,7,0.0202569,True,60,1139,3737,33,TT,j30,LBIP0_DP,465,2447,0,0
1,8,0.233445,True,53,16469,40771,33,TT,j30,LBIP0_DP,12602,26906,2247,0
1,9,0.716953,True,49,28130,101660,33,TT,j30,LBIP0_DP,9934,55084,6101,2558
1,10,0.496639,True,45,29657,81345,33,TT,j30,LBIP0_DP,17548,74800,8416,416
2,1,0.125221,True,38,6147,21864,33,TT,j30,LBIP0_DP,3189,10757,2674,146
2,2,0.396527,True,51,32591,60162,33,TT,j30,LBIP0_DP,9457,104620,4381,3367
2,3,0.00620765,True,43,249,1003,33,TT,j30,LBIP0_DP,105,402,4,0
2,4,0.160281,True,43,11252,25711,33,TT,j30,LBIP0_DP,7729,29228,938,0
2,5,0.00637186,True,51,474,1079,33,TT,j30,LBIP0_DP,194,1453,4,0
2,6,0.0606877,True,47,5181,10112,33,TT,j30,LBIP0_DP,1572,11270,113,0
2,7,0.0174045,True,47,964,2756,33,TT,j30,LBIP0_DP,340,2331,2,0
2,8,0.175621,True,54,11063,29508,33,TT,j30,LBIP0_DP,4098,34093,341,0
2,9,0.052917,True,54,2592,8743,33,TT,j30,LBIP0_DP,1031,4494,15,0
2,10,0.0831885,True,43,3694,13952,33,TT,j30,LBIP0_DP,1828,7574,92,152
3,1,0.0032515,True,72,349,563,33,TT,j30,LBIP0_DP,106,630,0,0
3,2,0.0492014,True,40,4205,7928,33,TT,j30,LBIP0_DP,1914,11145,102,0
3,3,0.00412086,True,57,330,660,33,TT,j30,LBIP0_DP,92,933,0,0
3,4,0.0963188,True,98,9641,15593,33,TT,j30,LBIP0_DP,4876,24476,63,0
3,5,0.577948,True,53,43438,85738,33,TT,j30,LBIP0_DP,12198,106960,3450,4470
3,6,0.0057472,True,54,337,933,33,TT,j30,LBIP0_DP,156,766,4,0
3,7,0.0615793,True,48,4226,9573,33,TT,j30,LBIP0_DP,2298,12515,31,0
3,8,0.0104297,True,54,1105,1835,33,TT,j30,LBIP0_DP,221,2859,0,0
3,9,0.89873,True,65,71849,126781,33,TT,j30,LBIP0_DP,19581,210747,4578,2392
3,10,0.206362,True,59,20221,31328,33,TT,j30,LBIP0_DP,5525,58328,556,795
4,1,0.00590172,True,49,370,879,33,TT,j30,LBIP0_DP,148,662,0,0
4,2,0.0611484,True,60,4895,9233,33,TT,j30,LBIP0_DP,1439,16381,73,0
4,3,0.0178693,True,47,1198,2798,33,TT,j30,LBIP0_DP,378,3591,0,0
4,4,0.00351131,True,57,198,533,33,TT,j30,LBIP0_DP,43,374,0,0
4,5,0.519823,True,59,23926,83664,33,TT,j30,LBIP0_DP,7454,49825,707,0
4,6,0.00504769,True,45,345,782,33,TT,j30,LBIP0_DP,215,535,12,0
4,7,0.0154044,True,56,920,2439,33,TT,j30,LBIP0_DP,183,2791,0,0
4,8,0.0144885,True,55,1141,2257,33,TT,j30,LBIP0_DP,332,3397,0,0
4,9,0.0336709,True,38,1577,5559,33,TT,j30,LBIP0_DP,930,4228,300,0
4,10,0.00532396,True,48,315,861,33,TT,j30,LBIP0_DP,112,607,20,0
5,1,16.3296,True,53,255980,951030,33,TT,j30,LBIP0_DP,100892,233424,29904,1052
5,2,300,False,0,1882856,6334174,0,TT,j30,LBIP0_DP,764595,2637323,553161,8573
5,3,300,False,0,2173643,6206164,0,TT,j30,LBIP0_DP,716424,3801287,572379,24333
5,4,300.001,False,0,1626111,7146196,0,TT,j30,LBIP0_DP,617003,2287506,261073,3073
5,5,113.75,True,76,1110139,3191151,33,TT,j30,LBIP0_DP,399519,1140216,449067,115471
5,6,36.2639,True,64,405575,1952797,33,TT,j30,LBIP0_DP,189834,415029,112175,773
5,7,300,False,0,2540576,11512192,0,TT,j30,LBIP0_DP,1747574,3484472,1346337,31174
5,8,300,False,0,1796204,6942705,0,TT,j30,LBIP0_DP,752474,1327293,834832,127302
5,9,300,False,0,1105881,3660973,0,TT,j30,LBIP0_DP,597369,857098,205964,15786
5,10,300,False,0,874201,3112280,0,TT,j30,LBIP0_DP,318809,641212,253728,13941
6,1,2.6298,True,59,73680,258240,33,TT,j30,LBIP0_DP,33661,89215,9760,1171
6,2,7.12689,True,51,186839,785013,33,TT,j30,LBIP0_DP,78474,208622,10676,6582
6,3,0.359959,True,48,14458,48876,33,TT,j30,LBIP0_DP,6999,19532,1091,186
6,4,1.09586,True,42,33012,132737,33,TT,j30,LBIP0_DP,11932,38922,3585,107
6,5,14.3858,True,67,265196,629209,33,TT,j30,LBIP0_DP,72347,362109,23285,6714
6,6,0.0230791,True,37,568,3188,33,TT,j30,LBIP0_DP,282,648,10,0
6,7,4.12675,True,46,135507,448413,33,TT,j30,LBIP0_DP,86764,159730,21061,9105
6,8,11.3628,True,39,269391,1122827,33,TT,j30,LBIP0_DP,229809,366229,20250,0
6,9,1.10121,True,51,38088,133006,33,TT,j30,LBIP0_DP,19681,50602,5686,1974
6,10,0.84429,True,61,28531,104813,33,TT,j30,LBIP0_DP,14228,28740,2012,222
7,1,0.0061188,True,55,388,901,33,TT,j30,LBIP0_DP,95,862,0,0
7,2,0.0482499,True,42,1728,7575,33,TT,j30,LBIP0_DP,898,1248,48,0
7,3,0.00821608,True,42,299,1198,33,TT,j30,LBIP0_DP,122,284,36,0
7,4,0.008158,True,44,340,1243,33,TT,j30,LBIP0_DP,126,576,21,0
7,5,0.462953,True,44,16206,58823,33,TT,j30,LBIP0_DP,7539,18615,858,44
7,6,0.0287677,True,35,1652,4283,33,TT,j30,LBIP0_DP,1598,4547,24,0
7,7,0.15483,True,50,7094,23122,33,TT,j30,LBIP0_DP,3017,7946,129,0
7,8,0.127569,True,44,4686,18472,33,TT,j30,LBIP0_DP,1749,7877,14,31
7,9,2.96013,True,60,159101,255512,33,TT,j30,LBIP0_DP,44679,247835,8698,11591
7,10,59.2501,True,49,1393891,2218841,33,TT,j30,LBIP0_DP,552483,1876610,50329,312019
8,1,0.0156851,True,44,1496,2412,33,TT,j30,LBIP0_DP,679,4651,1,0
8,2,0.0164674,True,51,1314,2349,33,TT,j30,LBIP0_DP,356,4884,2,0
8,3,0.0893169,True,53,6069,11682,33,TT,j30,LBIP0_DP,1491,23564,0,0
8,4,0.0654269,True,48,4316,9268,33,TT,j30,LBIP0_DP,1994,10944,2,0
8,5,0.0138753,True,58,1022,2174,33,TT,j30,LBIP0_DP,283,2248,0,0
8,6,0.00624141,True,47,354,976,33,TT,j30,LBIP0_DP,118,764,0,0
8,7,0.00385422,True,41,200,545,33,TT,j30,LBIP0_DP,103,455,0,0
8,8,0.00670439,True,51,480,1065,33,TT,j30,LBIP0_DP,126,1124,0,0
8,9,0.0846915,True,39,3749,12916,33,TT,j30,LBIP0_DP,3006,10466,58,0
8,10,0.0498431,True,67,3622,7405,33,TT,j30,LBIP0_DP,1026,7703,0,0
9,1,300.001,False,0,1011028,5541481,0,TT,j30,LBIP0_DP,478275,417610,260085,1908
9,2,300,False,0,930789,4313213,0,TT,j30,LBIP0_DP,213709,694466,124445,3510
9,3,300.001,False,0,681011,3450007,0,TT,j30,LBIP0_DP,150530,228121,57593,1726
9,4,300.001,False,0,1065036,5437955,0,TT,j30,LBIP0_DP,452885,891131,293550,27064
9,5,300.001,False,0,986329,3905082,0,TT,j30,LBIP0_DP,415660,616913,214027,16363
9,6,300,False,0,968176,4827324,0,TT,j30,LBIP0_DP,339360,564825,340270,6333
9,7,300,False,0,580730,3209623,0,TT,j30,LBIP0_DP,195130,228053,115144,3970
9,8,300,False,0,1081278,4738054,0,TT,j30,LBIP0_DP,277868,893646,334831,4546
9,9,300.001,False,0,1098671,5046797,0,TT,j30,LBIP0_DP,375075,543979,211513,4569
9,10,300.001,False,0,703784,3938222,0,TT,j30,LBIP0_DP,218581,335056,104022,4089
10,1,85.5691,True,42,364345,1565090,33,TT,j30,LBIP0_DP,263111,344685,2162,409
10,2,10.6821,True,56,155965,484538,33,TT,j30,LBIP0_DP,50851,77954,36615,8059
10,3,300.001,False,0,580394,2178670,0,TT,j30,LBIP0_DP,163099,313582,20041,0
