group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,300,False,0,1219771,19383256,0,TT,j90,CP_DP,1064703,3708556,371913,0
1,2,300,False,0,1505487,17918545,0,TT,j90,CP_DP,834387,5681819,174993,64
1,3,300,False,0,1540717,18387758,0,TT,j90,CP_DP,1338273,6908453,1070333,0
1,4,300,False,0,1698044,20799798,0,TT,j90,CP_DP,1235365,6981373,164464,1
1,5,300,False,0,2057485,19714539,0,TT,j90,CP_DP,1105305,6522496,1453412,48
1,6,300,False,0,2064916,20242928,0,TT,j90,CP_DP,3543225,7533822,686512,0
1,7,300,False,0,2001586,18300683,0,TT,j90,CP_DP,1682365,11475001,531856,69
1,8,300,False,0,1490219,20877334,0,TT,j90,CP_DP,1786545,3893178,125113,15
1,9,300,False,0,1475888,20235070,0,TT,j90,CP_DP,1257721,6285388,929139,7
1,10,300,False,0,1901171,18695445,0,TT,j90,CP_DP,750616,7589655,822783,0
2,1,19.3639,True,96,459844,1355596,93,TT,j90,CP_DP,262379,2285623,44329,164
2,2,82.7944,True,114,2589753,6267273,93,TT,j90,CP_DP,549931,12802891,230875,877
2,3,300,False,0,6201395,24725179,0,TT,j90,CP_DP,3688341,40406161,979406,138760
2,4,300,False,0,2024047,18629595,0,TT,j90,CP_DP,1795078,12013844,376199,0
2,5,300,False,0,2362863,19194618,0,TT,j90,CP_DP,1633263,13917548,157192,0
2,6,108.468,True,67,2244669,7770834,93,TT,j90,CP_DP,1115487,11347693,172755,1062
2,7,300,False,0,1783665,18065573,0,TT,j90,CP_DP,1646226,8894009,265310,0
2,8,20.3935,True,82,474349,1442775,93,TT,j90,CP_DP,252071,2011149,10586,0
2,9,185.825,True,79,985850,5852247,93,TT,j90,CP_DP,782863,3677290,74555,92
2,10,134.442,True,80,2210283,11776567,93,TT,j90,CP_DP,1136927,10119780,460303,592
3,1,300,False,0,9383086,23733987,0,TT,j90,CP_DP,3983145,81047673,1058503,7219
3,2,300,False,0,5218194,19136457,0,TT,j90,CP_DP,1709978,67690467,354073,0
3,3,2.70423,True,71,43455,212630,93,TT,j90,CP_DP,42807,214412,2438,0
3,4,300,False,0,4790088,18323802,0,TT,j90,CP_DP,2504173,39086583,721236,0
3,5,300,False,0,2880878,18360773,0,TT,j90,CP_DP,2582535,22830582,38012,0
3,6,300,False,0,2881111,22168385,0,TT,j90,CP_DP,2673269,18155867,1369725,0
3,7,80.8993,True,87,1202830,6165354,93,TT,j90,CP_DP,787669,6017171,36648,0
3,8,300,False,0,3403573,21536732,0,TT,j90,CP_DP,2014051,30286617,137605,0
3,9,300,False,0,2552580,19425138,0,TT,j90,CP_DP,1034261,19509596,208159,34963
3,10,300,False,0,1962990,19267604,0,TT,j90,CP_DP,880810,14068447,246972,944
4,1,300,False,0,8868734,21098035,0,TT,j90,CP_DP,4976706,77312837,88984,0
4,2,300,False,0,4032865,17899918,0,TT,j90,CP_DP,3753607,30831995,209761,0
4,3,300,False,0,5721331,22194674,0,TT,j90,CP_DP,4071622,45279232,75272,0
4,4,300,False,0,8959140,20725246,0,TT,j90,CP_DP,7587039,83175884,75840,16
4,5,37.2259,True,88,1137014,3213336,93,TT,j90,CP_DP,335310,8833224,153000,0
4,6,300,False,0,11135170,22385391,0,TT,j90,CP_DP,1557525,96633376,73772,0
4,7,300,False,0,2981581,19073936,0,TT,j90,CP_DP,3518558,27000940,47960,0
4,8,300,False,0,4160256,18389252,0,TT,j90,CP_DP,5073176,31123622,94605,3200
4,9,300,False,0,4037696,15511484,0,TT,j90,CP_DP,1254755,30229840,50532,380
4,10,300,False,0,9837104,20821984,0,TT,j90,CP_DP,2216371,93629118,4368,0
5,1,300,False,0,1057040,17767090,0,TT,j90,CP_DP,1086080,3079191,560030,614
5,2,300,False,0,1421058,18527525,0,TT,j90,CP_DP,1425206,1898145,398604,1239
5,3,300,False,0,1033868,14516851,0,TT,j90,CP_DP,620669,1620157,483684,1504
5,4,300,False,0,1137606,17788696,0,TT,j90,CP_DP,1127994,1895561,176278,18
5,5,300,False,0,1144502,16888441,0,TT,j90,CP_DP,1051122,1856461,217430,67
5,6,300,False,0,1110797,16718863,0,TT,j90,CP_DP,1085016,1575249,700099,252
5,7,300,False,0,1087416,16999364,0,TT,j90,CP_DP,1323560,926111,321567,0
5,8,300,False,0,1025362,14577195,0,TT,j90,CP_DP,1057705,1339580,519585,27
5,9,300,False,0,1123367,12283794,0,TT,j90,CP_DP,751008,1813497,155026,182
5,10,300,False,0,1182284,19062900,0,TT,j90,CP_DP,1812196,1762307,103703,2
6,1,235.287,True,82,1738359,14473012,93,TT,j90,CP_DP,1857415,6620571,194423,14
6,2,300,False,0,1432963,15593548,0,TT,j90,CP_DP,674530,2978431,103922,158
6,3,300,False,0,1259695,16459003,0,TT,j90,CP_DP,1183472,3453726,226991,266
6,4,300,False,0,2204535,18788312,0,TT,j90,CP_DP,3868789,12025909,101348,2
6,5,300,False,0,1721608,18187079,0,TT,j90,CP_DP,2566738,6986431,89276,8
6,6,300,False,0,2357522,16860632,0,TT,j90,CP_DP,1291421,10002642,211425,907
6,7,300,False,0,1888947,14909083,0,TT,j90,CP_DP,1688712,6174585,252784,9579
6,8,300,False,0,1243997,16848989,0,TT,j90,CP_DP,1873817,2566391,70317,0
6,9,300,False,0,1519626,17647842,0,TT,j90,CP_DP,1726261,8963034,97688,0
6,10,1.39638,True,94,19663,119108,93,TT,j90,CP_DP,12198,64549,161,0
7,1,300,False,0,4082627,17926080,0,TT,j90,CP_DP,4465385,21829946,205623,1321
7,2,300,False,0,2979286,18662370,0,TT,j90,CP_DP,1681993,20743196,222,0
7,3,300.001,False,0,1508909,13525512,0,TT,j90,CP_DP,1027966,3928427,340611,15910
