group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,300,False,0,1217178,19343747,0,TT,j90,LBMAX_DP,1062123,3699904,371664,0
1,2,300,False,0,1490974,17756003,0,TT,j90,LBMAX_DP,824501,5607349,174437,64
1,3,300,False,0,1545262,18454578,0,TT,j90,LBMAX_DP,1341306,6919113,1071147,0
1,4,300,False,0,1707032,20914133,0,TT,j90,LBMAX_DP,1241943,7025239,164966,1
1,5,300,False,0,2064001,19779423,0,TT,j90,LBMAX_DP,1109447,6550707,1465977,48
1,6,300,False,0,2070314,20290503,0,TT,j90,LBMAX_DP,3550918,7552496,686512,0
1,7,300,False,0,2001585,18300669,0,TT,j90,LBMAX_DP,1682362,11474998,531856,69
1,8,300,False,0,1490053,20874906,0,TT,j90,LBMAX_DP,1786441,3892866,125113,15
1,9,300,False,0,1481747,20284888,0,TT,j90,LBMAX_DP,1260908,6325374,931965,7
1,10,300,False,0,1898982,18675482,0,TT,j90,LBMAX_DP,749945,7578133,821395,0
2,1,19.3369,True,96,459844,1355596,93,TT,j90,LBMAX_DP,262379,2285623,44329,164
2,2,82.501,True,114,2589753,6267273,93,TT,j90,LBMAX_DP,549931,12802891,230875,877
2,3,300,False,0,6219859,24785744,0,TT,j90,LBMAX_DP,3692937,40513480,982209,139253
2,4,300,False,0,2016789,18562104,0,TT,j90,LBMAX_DP,1789034,11962154,374992,0
2,5,300,False,0,2359851,19165063,0,TT,j90,LBMAX_DP,1630563,13907227,157192,0
2,6,108.707,True,67,2244669,7770834,93,TT,j90,LBMAX_DP,1115487,11347693,172755,1062
2,7,300,False,0,1781171,18038954,0,TT,j90,LBMAX_DP,1643191,8882581,265226,0
2,8,20.7943,True,82,474349,1442775,93,TT,j90,LBMAX_DP,252071,2011149,10586,0
2,9,185.395,True,79,985850,5852247,93,TT,j90,LBMAX_DP,782863,3677290,74555,92
2,10,134.702,True,80,2210283,11776567,93,TT,j90,LBMAX_DP,1136927,10119780,460303,592
3,1,300,False,0,9479673,23959334,0,TT,j90,LBMAX_DP,4016627,81860649,1064320,7279
