group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,300,False,0,1192976,21582773,0,TT,j90,LBCS_DP,0,0,0,0
1,2,300,False,0,1348018,20043027,0,TT,j90,LBCS_DP,0,0,0,0
1,3,300,False,0,1185154,20701665,0,TT,j90,LBCS_DP,0,0,0,0
1,4,300,False,0,1342656,24591972,0,TT,j90,LBCS_DP,0,0,0,0
1,5,300,False,0,1839773,24221170,0,TT,j90,LBCS_DP,0,0,0,0
1,6,300,False,0,1420633,22941180,0,TT,j90,LBCS_DP,0,0,0,0
1,7,300,False,0,1669719,27056976,0,TT,j90,LBCS_DP,0,0,0,0
1,8,300,False,0,1266014,23417115,0,TT,j90,LBCS_DP,0,0,0,0
1,9,300,False,0,1141412,21294265,0,TT,j90,LBCS_DP,0,0,0,0
1,10,300,False,0,1567955,23476473,0,TT,j90,LBCS_DP,0,0,0,0
2,1,300,False,0,1498136,25673750,0,TT,j90,LBCS_DP,0,0,0,0
2,2,300,False,0,2229034,27537782,0,TT,j90,LBCS_DP,0,0,0,0
2,3,300,False,0,1907662,23054016,0,TT,j90,LBCS_DP,0,0,0,0
2,4,300,False,0,2040450,29358533,0,TT,j90,LBCS_DP,0,0,0,0
2,5,21.7953,True,100,123597,1605387,93,TT,j90,LBCS_DP,0,0,0,0
2,6,300,False,0,2735065,35259099,0,TT,j90,LBCS_DP,0,0,0,0
2,7,300,False,0,1871189,27662873,0,TT,j90,LBCS_DP,0,0,0,0
2,8,244.556,True,82,5558969,40090406,93,TT,j90,LBCS_DP,0,0,0,0
2,9,300.534,False,0,1493299,21760038,0,TT,j90,LBCS_DP,0,0,0,0
2,10,300,False,0,2549528,31641924,0,TT,j90,LBCS_DP,0,0,0,0
3,1,300,False,0,1729536,23017383,0,TT,j90,LBCS_DP,0,0,0,0
3,2,300,False,0,1820402,26143362,0,TT,j90,LBCS_DP,0,0,0,0
3,3,300,False,0,1506120,20971530,0,TT,j90,LBCS_DP,0,0,0,0
3,4,300,False,0,2991620,30707167,0,TT,j90,LBCS_DP,0,0,0,0
3,5,300,False,0,3018984,30818633,0,TT,j90,LBCS_DP,0,0,0,0
3,6,300,False,0,2904099,36872167,0,TT,j90,LBCS_DP,0,0,0,0
3,7,300,False,0,1596504,22952115,0,TT,j90,LBCS_DP,0,0,0,0
3,8,300,False,0,1694561,24486476,0,TT,j90,LBCS_DP,0,0,0,0
3,9,300,False,0,1835394,28990122,0,TT,j90,LBCS_DP,0,0,0,0
3,10,300,False,0,1704895,25456371,0,TT,j90,LBCS_DP,0,0,0,0
4,1,300,False,0,1740298,24523249,0,TT,j90,LBCS_DP,0,0,0,0
4,2,300,False,0,2056118,24296420,0,TT,j90,LBCS_DP,0,0,0,0
4,3,300,False,0,2599551,32633195,0,TT,j90,LBCS_DP,0,0,0,0
4,4,300,False,0,3420704,35356778,0,TT,j90,LBCS_DP,0,0,0,0
