group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.628043,True,43,28427,184301,33,TT,j30,CP_DP,0,0,0,0
1,2,4.39462,True,47,295365,1433819,33,TT,j30,CP_DP,0,0,0,0
1,3,4.6653,True,47,362628,1622885,33,TT,j30,CP_DP,0,0,0,0
1,4,104.796,True,62,6432334,31082819,33,TT,j30,CP_DP,0,0,0,0
1,5,41.5865,True,39,2782624,13521140,33,TT,j30,CP_DP,0,0,0,0
1,6,15.0595,True,48,1149196,4620661,33,TT,j30,CP_DP,0,0,0,0
1,7,0.0395308,True,60,629,3388,33,TT,j30,CP_DP,0,0,0,0
1,8,0.0311309,True,53,1900,10418,33,TT,j30,CP_DP,0,0,0,0
1,9,1.63163,True,49,74499,473630,33,TT,j30,CP_DP,0,0,0,0
1,10,4.36085,True,45,292437,1540811,33,TT,j30,CP_DP,0,0,0,0
2,1,0.729689,True,38,51530,257059,33,TT,j30,CP_DP,0,0,0,0
2,2,8.15729,True,51,658718,3374093,33,TT,j30,CP_DP,0,0,0,0
2,3,0.00383967,True,43,197,1120,33,TT,j30,CP_DP,0,0,0,0
2,4,2.12615,True,43,173366,816267,33,TT,j30,CP_DP,0,0,0,0
2,5,0.0298179,True,51,741,3723,33,TT,j30,CP_DP,0,0,0,0
2,6,0.00405154,True,47,213,1050,33,TT,j30,CP_DP,0,0,0,0
2,7,0.00767521,True,47,340,2180,33,TT,j30,CP_DP,0,0,0,0
2,8,11.4436,True,54,658333,3629369,33,TT,j30,CP_DP,0,0,0,0
2,9,0.282733,True,54,16047,86528,33,TT,j30,CP_DP,0,0,0,0
2,10,0.354031,True,43,19558,121825,33,TT,j30,CP_DP,0,0,0,0
3,1,0.000594628,True,72,39,132,33,TT,j30,CP_DP,0,0,0,0
3,2,0.385297,True,40,28213,135768,33,TT,j30,CP_DP,0,0,0,0
3,3,0.0173682,True,57,1079,5721,33,TT,j30,CP_DP,0,0,0,0
3,4,0.00180646,True,98,117,486,33,TT,j30,CP_DP,0,0,0,0
3,5,3.90537,True,53,288988,1501922,33,TT,j30,CP_DP,0,0,0,0
3,6,0.00135089,True,54,73,324,33,TT,j30,CP_DP,0,0,0,0
3,7,0.0263381,True,48,503,3293,33,TT,j30,CP_DP,0,0,0,0
3,8,0.0100725,True,54,442,2798,33,TT,j30,CP_DP,0,0,0,0
3,9,20.6624,True,65,1715283,7847092,33,TT,j30,CP_DP,0,0,0,0
3,10,1.35171,True,59,140683,598714,33,TT,j30,CP_DP,0,0,0,0
4,1,0.0820607,True,49,80,382,33,TT,j30,CP_DP,0,0,0,0
4,2,0.00335734,True,60,69,292,33,TT,j30,CP_DP,0,0,0,0
4,3,0.0127661,True,47,250,1283,33,TT,j30,CP_DP,0,0,0,0
4,4,0.0100749,True,57,221,1030,33,TT,j30,CP_DP,0,0,0,0
4,5,0.0675377,True,59,2387,15521,33,TT,j30,CP_DP,0,0,0,0
4,6,0.00163931,True,45,39,136,33,TT,j30,CP_DP,0,0,0,0
4,7,0.00611751,True,56,101,495,33,TT,j30,CP_DP,0,0,0,0
4,8,0.00442621,True,55,74,348,33,TT,j30,CP_DP,0,0,0,0
4,9,0.118351,True,38,5341,33448,33,TT,j30,CP_DP,0,0,0,0
4,10,0.00781238,True,48,287,1038,33,TT,j30,CP_DP,0,0,0,0
5,1,57.5613,True,53,2743314,14024947,33,TT,j30,CP_DP,0,0,0,0
5,2,300,False,0,14853873,72394614,0,TT,j30,CP_DP,0,0,0,0
5,3,300,False,0,15967450,77013120,0,TT,j30,CP_DP,0,0,0,0
5,4,307.199,False,0,12039118,75992191,0,TT,j30,CP_DP,0,0,0,0
5,5,300,False,0,15374929,71328861,0,TT,j30,CP_DP,0,0,0,0
5,6,111.307,True,64,4267649,25048122,33,TT,j30,CP_DP,0,0,0,0
5,7,307.654,False,0,10459666,69026155,0,TT,j30,CP_DP,0,0,0,0
5,8,300,False,0,13437399,70927054,0,TT,j30,CP_DP,0,0,0,0
5,9,300,False,0,15850551,72425346,0,TT,j30,CP_DP,0,0,0,0
5,10,300,False,0,16287513,75402803,0,TT,j30,CP_DP,0,0,0,0
6,1,50.5097,True,59,2717958,13780860,33,TT,j30,CP_DP,0,0,0,0
6,2,50.3696,True,51,2398472,13479308,33,TT,j30,CP_DP,0,0,0,0
6,3,0.853741,True,48,49164,238943,33,TT,j30,CP_DP,0,0,0,0
6,4,2.83181,True,42,143478,785071,33,TT,j30,CP_DP,0,0,0,0
6,5,300,False,0,21095716,83486907,0,TT,j30,CP_DP,0,0,0,0
6,6,0.0412215,True,37,1394,10078,33,TT,j30,CP_DP,0,0,0,0
6,7,91.9137,True,46,5203017,26243510,33,TT,j30,CP_DP,0,0,0,0
6,8,1.69932,True,39,111841,579194,33,TT,j30,CP_DP,0,0,0,0
6,9,9.59587,True,51,454073,2434468,33,TT,j30,CP_DP,0,0,0,0
6,10,3.82509,True,61,140718,780818,33,TT,j30,CP_DP,0,0,0,0
7,1,0.00395389,True,55,327,1146,33,TT,j30,CP_DP,0,0,0,0
7,2,0.0157071,True,42,737,4180,33,TT,j30,CP_DP,0,0,0,0
7,3,0.0442415,True,42,1774,10403,33,TT,j30,CP_DP,0,0,0,0
7,4,1.23343,True,44,89283,374135,33,TT,j30,CP_DP,0,0,0,0
7,5,3.57927,True,44,190953,995679,33,TT,j30,CP_DP,0,0,0,0
7,6,0.395519,True,35,17319,115746,33,TT,j30,CP_DP,0,0,0,0
7,7,0.0956993,True,50,6709,30436,33,TT,j30,CP_DP,0,0,0,0
7,8,1.31352,True,44,69969,397051,33,TT,j30,CP_DP,0,0,0,0
7,9,300,False,0,28095340,97112086,0,TT,j30,CP_DP,0,0,0,0
7,10,300,False,0,23248708,89046675,0,TT,j30,CP_DP,0,0,0,0
8,1,0.00106246,True,44,44,217,33,TT,j30,CP_DP,0,0,0,0
8,2,0.00432543,True,51,236,1153,33,TT,j30,CP_DP,0,0,0,0
8,3,1.94648,True,53,20653,133340,33,TT,j30,CP_DP,0,0,0,0
8,4,0.0043002,True,48,222,1072,33,TT,j30,CP_DP,0,0,0,0
8,5,0.00307995,True,58,203,820,33,TT,j30,CP_DP,0,0,0,0
8,6,0.00586766,True,47,332,1610,33,TT,j30,CP_DP,0,0,0,0
8,7,0.00272211,True,41,117,636,33,TT,j30,CP_DP,0,0,0,0
8,8,0.144235,True,51,7533,37224,33,TT,j30,CP_DP,0,0,0,0
8,9,0.0036197,True,39,130,830,33,TT,j30,CP_DP,0,0,0,0
8,10,0.0121232,True,67,496,2609,33,TT,j30,CP_DP,0,0,0,0
9,1,300,False,0,8644118,55365739,0,TT,j30,CP_DP,0,0,0,0
9,2,300,False,0,9813836,53291294,0,TT,j30,CP_DP,0,0,0,0
9,3,303.165,False,0,11058060,60523257,0,TT,j30,CP_DP,0,0,0,0
9,4,306.001,False,0,10320380,64345324,0,TT,j30,CP_DP,0,0,0,0
9,5,300,False,0,12258653,60678097,0,TT,j30,CP_DP,0,0,0,0
9,6,300,False,0,11684483,66222385,0,TT,j30,CP_DP,0,0,0,0
9,7,300,False,0,10324274,62222935,0,TT,j30,CP_DP,0,0,0,0
9,8,300,False,0,9223403,49595012,0,TT,j30,CP_DP,0,0,0,0
9,9,300,False,0,10429095,55548112,0,TT,j30,CP_DP,0,0,0,0
9,10,300,False,0,8768658,55218096,0,TT,j30,CP_DP,0,0,0,0
10,1,76.343,True,42,2714937,15850218,33,TT,j30,CP_DP,0,0,0,0
10,2,78.1143,True,56,4192598,15918146,33,TT,j30,CP_DP,0,0,0,0
10,3,300,False,0,14810499,69865301,0,TT,j30,CP_DP,0,0,0,0
10,4,41.6004,True,58,2329107,10388989,33,TT,j30,CP_DP,0,0,0,0
10,5,72.3127,True,41,3336590,17814671,33,TT,j30,CP_DP,0,0,0,0
10,6,300,False,0,12275208,62712229,0,TT,j30,CP_DP,0,0,0,0
10,7,7.60987,True,49,327134,1841049,33,TT,j30,CP_DP,0,0,0,0
10,8,300,False,0,13149903,68238792,0,TT,j30,CP_DP,0,0,0,0
10,9,0.00602298,True,49,329,1609,33,TT,j30,CP_DP,0,0,0,0
10,10,304.261,False,0,12034904,69326006,0,TT,j30,CP_DP,0,0,0,0
