group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.984299,True,43,28424,184291,33,TT,j30,LBCC_DP,0,0,0,0
1,2,6.07897,True,47,295365,1433819,33,TT,j30,LBCC_DP,0,0,0,0
1,3,6.02516,True,47,354799,1586033,33,TT,j30,LBCC_DP,0,0,0,0
1,4,118.858,True,62,6238527,30009546,33,TT,j30,LBCC_DP,0,0,0,0
1,5,27.2372,True,39,1491217,7074797,33,TT,j30,LBCC_DP,0,0,0,0
1,6,18.4261,True,48,1149196,4620661,33,TT,j30,LBCC_DP,0,0,0,0
1,7,0.0104139,True,60,158,781,33,TT,j30,LBCC_DP,0,0,0,0
1,8,0.176592,True,53,12753,49542,33,TT,j30,LBCC_DP,0,0,0,0
1,9,2.3574,True,49,74493,473598,33,TT,j30,LBCC_DP,0,0,0,0
1,10,4.17976,True,45,208472,1071652,33,TT,j30,LBCC_DP,0,0,0,0
2,1,1.17812,True,38,51269,255585,33,TT,j30,LBCC_DP,0,0,0,0
2,2,10.1756,True,51,658664,3373967,33,TT,j30,LBCC_DP,0,0,0,0
2,3,0.00486031,True,43,45,198,33,TT,j30,LBCC_DP,0,0,0,0
2,4,3.0964,True,43,173366,816267,33,TT,j30,LBCC_DP,0,0,0,0
2,5,0.0082446,True,51,93,433,33,TT,j30,LBCC_DP,0,0,0,0
2,6,0.00489233,True,47,105,344,33,TT,j30,LBCC_DP,0,0,0,0
2,7,0.0119246,True,47,103,651,33,TT,j30,LBCC_DP,0,0,0,0
2,8,16.1457,True,54,658333,3629369,33,TT,j30,LBCC_DP,0,0,0,0
2,9,0.479747,True,54,16047,86528,33,TT,j30,LBCC_DP,0,0,0,0
2,10,0.543483,True,43,19560,121831,33,TT,j30,LBCC_DP,0,0,0,0
3,1,0.00338989,True,72,33,120,33,TT,j30,LBCC_DP,0,0,0,0
3,2,0.601852,True,40,28213,135768,33,TT,j30,LBCC_DP,0,0,0,0
3,3,0.00518411,True,57,33,186,33,TT,j30,LBCC_DP,0,0,0,0
3,4,0.0107952,True,98,121,496,33,TT,j30,LBCC_DP,0,0,0,0
3,5,5.31052,True,53,288988,1501922,33,TT,j30,LBCC_DP,0,0,0,0
3,6,0.00500217,True,54,73,324,33,TT,j30,LBCC_DP,0,0,0,0
3,7,0.00538513,True,48,33,199,33,TT,j30,LBCC_DP,0,0,0,0
3,8,0.0042013,True,54,33,154,33,TT,j30,LBCC_DP,0,0,0,0
3,9,28.1418,True,65,1715283,7847092,33,TT,j30,LBCC_DP,0,0,0,0
3,10,1.84473,True,59,140683,598714,33,TT,j30,LBCC_DP,0,0,0,0
4,1,0.0724745,True,49,33,156,33,TT,j30,LBCC_DP,0,0,0,0
4,2,0.00150772,True,60,51,191,33,TT,j30,LBCC_DP,0,0,0,0
4,3,0.00123661,True,47,33,153,33,TT,j30,LBCC_DP,0,0,0,0
4,4,0.00113873,True,57,33,124,33,TT,j30,LBCC_DP,0,0,0,0
4,5,0.00173557,True,59,33,156,33,TT,j30,LBCC_DP,0,0,0,0
4,6,0.00175899,True,45,33,135,33,TT,j30,LBCC_DP,0,0,0,0
4,7,0.00343351,True,56,79,348,33,TT,j30,LBCC_DP,0,0,0,0
4,8,0.00139506,True,55,33,139,33,TT,j30,LBCC_DP,0,0,0,0
4,9,0.00336341,True,38,97,534,33,TT,j30,LBCC_DP,0,0,0,0
4,10,0.00354673,True,48,121,489,33,TT,j30,LBCC_DP,0,0,0,0
5,1,77.9423,True,53,2679505,13717682,33,TT,j30,LBCC_DP,0,0,0,0
5,2,300,False,0,10726925,52773547,0,TT,j30,LBCC_DP,0,0,0,0
5,3,300,False,0,11444699,55118355,0,TT,j30,LBCC_DP,0,0,0,0
5,4,300,False,0,9286478,55608262,0,TT,j30,LBCC_DP,0,0,0,0
5,5,300,False,0,13066745,53417378,0,TT,j30,LBCC_DP,0,0,0,0
5,6,159.103,True,64,4267649,25048122,33,TT,j30,LBCC_DP,0,0,0,0
5,7,300,False,0,10012128,55341475,0,TT,j30,LBCC_DP,0,0,0,0
5,8,300,False,0,10592129,51944658,0,TT,j30,LBCC_DP,0,0,0,0
5,9,300,False,0,11256957,54019284,0,TT,j30,LBCC_DP,0,0,0,0
