group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.612875,True,43,28427,184301,33,TT,j30,LBMAX_DP,0,0,0,0
1,2,4.20625,True,47,295365,1433819,33,TT,j30,LBMAX_DP,0,0,0,0
1,3,4.49688,True,47,362628,1622885,33,TT,j30,LBMAX_DP,0,0,0,0
1,4,103.673,True,62,6432334,31082819,33,TT,j30,LBMAX_DP,0,0,0,0
1,5,42.8662,True,39,2782624,13521140,33,TT,j30,LBMAX_DP,0,0,0,0
1,6,13.8259,True,48,1149196,4620661,33,TT,j30,LBMAX_DP,0,0,0,0
1,7,0.0108173,True,60,629,3388,33,TT,j30,LBMAX_DP,0,0,0,0
1,8,0.0799592,True,53,1900,10418,33,TT,j30,LBMAX_DP,0,0,0,0
1,9,1.65154,True,49,74499,473630,33,TT,j30,LBMAX_DP,0,0,0,0
1,10,4.4081,True,45,292437,1540811,33,TT,j30,LBMAX_DP,0,0,0,0
2,1,0.734021,True,38,51530,257059,33,TT,j30,LBMAX_DP,0,0,0,0
2,2,8.23961,True,51,658718,3374093,33,TT,j30,LBMAX_DP,0,0,0,0
2,3,0.00387504,True,43,197,1120,33,TT,j30,LBMAX_DP,0,0,0,0
2,4,2.15039,True,43,173366,816267,33,TT,j30,LBMAX_DP,0,0,0,0
2,5,0.0300809,True,51,741,3723,33,TT,j30,LBMAX_DP,0,0,0,0
2,6,0.00419061,True,47,213,1050,33,TT,j30,LBMAX_DP,0,0,0,0
2,7,0.00825387,True,47,340,2180,33,TT,j30,LBMAX_DP,0,0,0,0
2,8,11.5687,True,54,658333,3629369,33,TT,j30,LBMAX_DP,0,0,0,0
2,9,0.2859,True,54,16047,86528,33,TT,j30,LBMAX_DP,0,0,0,0
2,10,0.368179,True,43,19558,121825,33,TT,j30,LBMAX_DP,0,0,0,0
3,1,0.000601002,True,72,39,132,33,TT,j30,LBMAX_DP,0,0,0,0
3,2,0.382013,True,40,28213,135768,33,TT,j30,LBMAX_DP,0,0,0,0
3,3,0.0167998,True,57,1079,5721,33,TT,j30,LBMAX_DP,0,0,0,0
3,4,0.00185323,True,98,117,486,33,TT,j30,LBMAX_DP,0,0,0,0
3,5,3.93288,True,53,288988,1501922,33,TT,j30,LBMAX_DP,0,0,0,0
3,6,0.00134007,True,54,73,324,33,TT,j30,LBMAX_DP,0,0,0,0
3,7,0.0113843,True,48,503,3293,33,TT,j30,LBMAX_DP,0,0,0,0
3,8,0.0102428,True,54,442,2798,33,TT,j30,LBMAX_DP,0,0,0,0
3,9,20.8581,True,65,1715283,7847092,33,TT,j30,LBMAX_DP,0,0,0,0
