group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.0432728,True,43,1909,10782,33,TT,j30,LBIP0_DP,0,0,0,0
1,2,4.49139,True,47,295365,1433819,33,TT,j30,LBIP0_DP,0,0,0,0
1,3,0.0514581,True,47,3549,14700,33,TT,j30,LBIP0_DP,0,0,0,0
1,4,100.762,True,62,6432219,31082704,33,TT,j30,LBIP0_DP,0,0,0,0
1,5,43.6217,True,39,2782626,13521144,33,TT,j30,LBIP0_DP,0,0,0,0
1,6,13.8435,True,48,1149196,4620661,33,TT,j30,LBIP0_DP,0,0,0,0
1,7,0.00267483,True,60,158,781,33,TT,j30,LBIP0_DP,0,0,0,0
1,8,0.124231,True,53,12753,49542,33,TT,j30,LBIP0_DP,0,0,0,0
1,9,1.5983,True,49,74499,473630,33,TT,j30,LBIP0_DP,0,0,0,0
1,10,4.30829,True,45,292437,1540811,33,TT,j30,LBIP0_DP,0,0,0,0
2,1,0.713971,True,38,51530,257059,33,TT,j30,LBIP0_DP,0,0,0,0
2,2,8.01238,True,51,658718,3374093,33,TT,j30,LBIP0_DP,0,0,0,0
2,3,0.000869925,True,43,45,198,33,TT,j30,LBIP0_DP,0,0,0,0
2,4,0.000840215,True,43,33,166,33,TT,j30,LBIP0_DP,0,0,0,0
2,5,0.0019235,True,51,93,433,33,TT,j30,LBIP0_DP,0,0,0,0
2,6,0.00116588,True,47,105,344,33,TT,j30,LBIP0_DP,0,0,0,0
2,7,0.00263001,True,47,103,651,33,TT,j30,LBIP0_DP,0,0,0,0
2,8,6.41206,True,54,386000,2096016,33,TT,j30,LBIP0_DP,0,0,0,0
2,9,0.0133672,True,54,823,4080,33,TT,j30,LBIP0_DP,0,0,0,0
2,10,0.348976,True,43,19560,121831,33,TT,j30,LBIP0_DP,0,0,0,0
3,1,0.0005994,True,72,33,120,33,TT,j30,LBIP0_DP,0,0,0,0
3,2,0.00082315,True,40,33,162,33,TT,j30,LBIP0_DP,0,0,0,0
3,3,0.000890094,True,57,33,186,33,TT,j30,LBIP0_DP,0,0,0,0
3,4,0.00192044,True,98,121,496,33,TT,j30,LBIP0_DP,0,0,0,0
3,5,3.75686,True,53,288988,1501922,33,TT,j30,LBIP0_DP,0,0,0,0
3,6,0.000741154,True,54,33,155,33,TT,j30,LBIP0_DP,0,0,0,0
3,7,0.00095126,True,48,33,199,33,TT,j30,LBIP0_DP,0,0,0,0
3,8,0.000760948,True,54,33,154,33,TT,j30,LBIP0_DP,0,0,0,0
3,9,20.2865,True,65,1715283,7847092,33,TT,j30,LBIP0_DP,0,0,0,0
3,10,1.30936,True,59,140683,598714,33,TT,j30,LBIP0_DP,0,0,0,0
4,1,0.000784356,True,49,33,156,33,TT,j30,LBIP0_DP,0,0,0,0
4,2,0.000854071,True,60,50,189,33,TT,j30,LBIP0_DP,0,0,0,0
4,3,0.000721583,True,47,33,153,33,TT,j30,LBIP0_DP,0,0,0,0
4,4,0.000680352,True,57,33,124,33,TT,j30,LBIP0_DP,0,0,0,0
4,5,0.000786712,True,59,33,156,33,TT,j30,LBIP0_DP,0,0,0,0
4,6,0.000834823,True,45,33,135,33,TT,j30,LBIP0_DP,0,0,0,0
4,7,0.00173951,True,56,79,348,33,TT,j30,LBIP0_DP,0,0,0,0
4,8,0.00066693,True,55,33,139,33,TT,j30,LBIP0_DP,0,0,0,0
4,9,0.00198278,True,38,97,534,33,TT,j30,LBIP0_DP,0,0,0,0
4,10,0.00191861,True,48,161,617,33,TT,j30,LBIP0_DP,0,0,0,0
5,1,56.1204,True,53,2743314,14024947,33,TT,j30,LBIP0_DP,0,0,0,0
5,2,300,False,0,14848038,72364650,0,TT,j30,LBIP0_DP,0,0,0,0
5,3,300,False,0,15947680,76913936,0,TT,j30,LBIP0_DP,0,0,0,0
5,4,300,False,0,12002430,75753452,0,TT,j30,LBIP0_DP,0,0,0,0
5,5,300,False,0,15404288,71441192,0,TT,j30,LBIP0_DP,0,0,0,0
5,6,110.476,True,64,4267649,25048122,33,TT,j30,LBIP0_DP,0,0,0,0
5,7,308.023,False,0,10459409,69025195,0,TT,j30,LBIP0_DP,0,0,0,0
5,8,300,False,0,13418503,70822305,0,TT,j30,LBIP0_DP,0,0,0,0
5,9,300,False,0,15836507,72364602,0,TT,j30,LBIP0_DP,0,0,0,0
5,10,300,False,0,16315631,75530913,0,TT,j30,LBIP0_DP,0,0,0,0
6,1,50.5491,True,59,2717958,13780860,33,TT,j30,LBIP0_DP,0,0,0,0
6,2,50.0142,True,51,2400673,13488494,33,TT,j30,LBIP0_DP,0,0,0,0
6,3,0.854719,True,48,49146,238894,33,TT,j30,LBIP0_DP,0,0,0,0
6,4,2.89535,True,42,143478,785071,33,TT,j30,LBIP0_DP,0,0,0,0
6,5,300,False,0,21227993,84016161,0,TT,j30,LBIP0_DP,0,0,0,0
6,6,0.0418163,True,37,1431,10289,33,TT,j30,LBIP0_DP,0,0,0,0
6,7,92.2716,True,46,5203017,26243510,33,TT,j30,LBIP0_DP,0,0,0,0
6,8,23.2742,True,39,1298735,7299099,33,TT,j30,LBIP0_DP,0,0,0,0
6,9,9.74373,True,51,454073,2434468,33,TT,j30,LBIP0_DP,0,0,0,0
6,10,3.01778,True,61,140718,780818,33,TT,j30,LBIP0_DP,0,0,0,0
7,1,0.0335068,True,55,2100,9190,33,TT,j30,LBIP0_DP,0,0,0,0
7,2,0.00521237,True,42,246,1431,33,TT,j30,LBIP0_DP,0,0,0,0
7,3,0.0422769,True,42,1691,10035,33,TT,j30,LBIP0_DP,0,0,0,0
7,4,1.09003,True,44,79565,329481,33,TT,j30,LBIP0_DP,0,0,0,0
7,5,3.45214,True,44,190953,995679,33,TT,j30,LBIP0_DP,0,0,0,0
7,6,0.00177038,True,35,62,400,33,TT,j30,LBIP0_DP,0,0,0,0
7,7,0.130411,True,50,8698,40845,33,TT,j30,LBIP0_DP,0,0,0,0
7,8,1.30358,True,44,69969,397051,33,TT,j30,LBIP0_DP,0,0,0,0
7,9,300,False,0,28437132,98570027,0,TT,j30,LBIP0_DP,0,0,0,0
7,10,300,False,0,24505489,93129656,0,TT,j30,LBIP0_DP,0,0,0,0
8,1,0.000845794,True,44,33,154,33,TT,j30,LBIP0_DP,0,0,0,0
8,2,0.000903114,True,51,33,159,33,TT,j30,LBIP0_DP,0,0,0,0
8,3,0.00248858,True,53,145,672,33,TT,j30,LBIP0_DP,0,0,0,0
8,4,0.000953652,True,48,33,176,33,TT,j30,LBIP0_DP,0,0,0,0
8,5,0.000842966,True,58,33,136,33,TT,j30,LBIP0_DP,0,0,0,0
8,6,0.0011118,True,47,43,189,33,TT,j30,LBIP0_DP,0,0,0,0
8,7,0.00123762,True,41,35,162,33,TT,j30,LBIP0_DP,0,0,0,0
8,8,0.00127276,True,51,34,156,33,TT,j30,LBIP0_DP,0,0,0,0
8,9,0.00157298,True,39,33,187,33,TT,j30,LBIP0_DP,0,0,0,0
8,10,0.00125907,True,67,33,129,33,TT,j30,LBIP0_DP,0,0,0,0
9,1,300,False,0,8938931,57159779,0,TT,j30,LBIP0_DP,0,0,0,0
9,2,300,False,0,10969608,59520565,0,TT,j30,LBIP0_DP,0,0,0,0
9,3,301.907,False,0,11058111,60523506,0,TT,j30,LBIP0_DP,0,0,0,0
9,4,304.216,False,0,10320340,64345220,0,TT,j30,LBIP0_DP,0,0,0,0
9,5,300,False,0,12319580,60983927,0,TT,j30,LBIP0_DP,0,0,0,0
9,6,300,False,0,11707774,66357447,0,TT,j30,LBIP0_DP,0,0,0,0
9,7,307.824,False,0,10533378,63486284,0,TT,j30,LBIP0_DP,0,0,0,0
9,8,300,False,0,11619442,61380422,0,TT,j30,LBIP0_DP,0,0,0,0
9,9,300,False,0,11655718,60838821,0,TT,j30,LBIP0_DP,0,0,0,0
