group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,0.109125,True,43,14759,75131,33,TT2,j30,LBMAX_DP,20692,4205,0
1,2,0.41112,True,47,56303,285124,33,TT2,j30,LBMAX_DP,79078,17320,0
1,3,0.250645,True,47,46589,188776,33,TT2,j30,LBMAX_DP,64860,8948,0
1,4,1.77566,True,62,256770,1185405,33,TT2,j30,LBMAX_DP,456180,74654,0
1,5,0.316892,True,39,48679,230231,33,TT2,j30,LBMAX_DP,110159,8288,0
1,6,0.0642167,True,48,12230,55990,33,TT2,j30,LBMAX_DP,29229,1080,0
1,7,0.0412869,True,60,5794,34033,33,TT2,j30,LBMAX_DP,7042,0,0
1,8,0.0857386,True,53,14798,70886,33,TT2,j30,LBMAX_DP,17849,1,0
1,9,0.173191,True,49,24852,124945,33,TT2,j30,LBMAX_DP,51501,5420,0
1,10,0.16559,True,45,25570,128603,33,TT2,j30,LBMAX_DP,60796,4118,0
2,1,0.0432289,True,38,5795,32712,33,TT2,j30,LBMAX_DP,14691,544,0
2,2,1.64386,True,51,268540,1176923,33,TT2,j30,LBMAX_DP,504082,57871,0
2,3,0.0047446,True,43,701,3458,33,TT2,j30,LBMAX_DP,536,0,0
2,4,1.74735,True,43,241209,1297817,33,TT2,j30,LBMAX_DP,465878,140,0
2,5,0.0103005,True,51,986,6948,33,TT2,j30,LBMAX_DP,616,0,0
2,6,0.241943,True,47,36777,180075,33,TT2,j30,LBMAX_DP,48689,4,0
2,7,0.00362644,True,47,381,2502,33,TT2,j30,LBMAX_DP,29,0,0
2,8,0.530336,True,54,85396,435576,33,TT2,j30,LBMAX_DP,162840,15749,0
2,9,0.354329,True,54,59856,269990,33,TT2,j30,LBMAX_DP,54040,11948,0
2,10,0.136473,True,43,21575,99988,33,TT2,j30,LBMAX_DP,26622,6852,0
3,1,0.000298715,True,72,35,147,33,TT2,j30,LBMAX_DP,0,0,0
3,2,0.196401,True,40,29115,154139,33,TT2,j30,LBMAX_DP,38393,151,0
3,3,0.00695422,True,57,920,4883,33,TT2,j30,LBMAX_DP,699,0,0
3,4,0.0011994,True,98,219,889,33,TT2,j30,LBMAX_DP,6,0,0
3,5,0.153976,True,53,25343,123753,33,TT2,j30,LBMAX_DP,59341,4885,0
3,6,0.000362771,True,54,36,180,33,TT2,j30,LBMAX_DP,0,0,0
3,7,0.000401453,True,48,33,201,33,TT2,j30,LBMAX_DP,0,0,0
3,8,0.000357416,True,54,37,178,33,TT2,j30,LBMAX_DP,0,0,0
3,9,2.7258,True,65,412115,2108968,33,TT2,j30,LBMAX_DP,721403,59187,0
3,10,1.13659,True,59,190695,870157,33,TT2,j30,LBMAX_DP,376580,11909,0
4,1,0.000366222,True,49,41,181,33,TT2,j30,LBMAX_DP,0,0,0
4,2,0.0010514,True,60,229,716,33,TT2,j30,LBMAX_DP,21,0,0
4,3,0.0556014,True,47,7343,40853,33,TT2,j30,LBMAX_DP,5485,0,0
4,4,0.000304596,True,57,33,135,33,TT2,j30,LBMAX_DP,0,0,0
4,5,0.0372756,True,59,5243,27177,33,TT2,j30,LBMAX_DP,8133,0,0
4,6,0.000439389,True,45,53,201,33,TT2,j30,LBMAX_DP,0,0,0
4,7,0.0040083,True,56,505,2785,33,TT2,j30,LBMAX_DP,186,0,0
4,8,0.000297134,True,55,33,139,33,TT2,j30,LBMAX_DP,0,0,0
4,9,0.146374,True,38,18457,111261,33,TT2,j30,LBMAX_DP,28281,0,0
4,10,0.00322483,True,48,487,2251,33,TT2,j30,LBMAX_DP,180,0,0
5,1,0.182508,True,53,24166,109936,33,TT2,j30,LBMAX_DP,37206,3343,0
5,2,0.306397,True,82,46362,211250,33,TT2,j30,LBMAX_DP,106052,5948,0
5,3,0.402394,True,76,60622,277365,33,TT2,j30,LBMAX_DP,153272,9473,0
5,4,2.31399,True,63,214983,1167046,33,TT2,j30,LBMAX_DP,569851,23813,0
5,5,0.180844,True,76,27905,133730,33,TT2,j30,LBMAX_DP,75510,1865,0
5,6,0.580347,True,64,49639,319741,33,TT2,j30,LBMAX_DP,114946,3535,0
5,7,3.04345,True,76,304864,1615137,33,TT2,j30,LBMAX_DP,924889,38657,0
5,8,0.311789,True,67,39319,201903,33,TT2,j30,LBMAX_DP,86614,3234,0
5,9,0.370346,True,49,49746,235221,33,TT2,j30,LBMAX_DP,106923,7345,0
5,10,0.214258,True,70,30253,139575,33,TT2,j30,LBMAX_DP,67840,3928,0
6,1,0.534122,True,59,71383,324721,33,TT2,j30,LBMAX_DP,103519,5815,0
6,2,2.06385,True,51,191781,1143545,33,TT2,j30,LBMAX_DP,329098,10340,0
6,3,0.195791,True,48,26407,116186,33,TT2,j30,LBMAX_DP,42279,5010,0
6,4,0.639128,True,42,81686,315464,33,TT2,j30,LBMAX_DP,88184,26110,0
6,5,0.191054,True,67,33702,142659,33,TT2,j30,LBMAX_DP,62084,4778,0
6,6,0.00911285,True,37,774,4872,33,TT2,j30,LBMAX_DP,611,106,0
6,7,0.3575,True,46,52838,234439,33,TT2,j30,LBMAX_DP,56288,11521,0
6,8,5.87428,True,39,455625,2963039,33,TT2,j30,LBMAX_DP,926755,575,0
6,9,0.199639,True,51,26606,118197,33,TT2,j30,LBMAX_DP,30069,7290,0
6,10,0.146097,True,61,20533,87954,33,TT2,j30,LBMAX_DP,26263,4780,0
7,1,0.00161113,True,55,232,891,33,TT2,j30,LBMAX_DP,71,0,0
7,2,0.00608011,True,42,563,3480,33,TT2,j30,LBMAX_DP,338,0,0
7,3,0.00524677,True,42,684,3307,33,TT2,j30,LBMAX_DP,377,46,0
7,4,0.0730875,True,44,9654,52754,33,TT2,j30,LBMAX_DP,11253,17,0
7,5,0.454513,True,44,59249,242376,33,TT2,j30,LBMAX_DP,66502,18270,0
7,6,0.0499426,True,35,4905,31915,33,TT2,j30,LBMAX_DP,5872,0,0
7,7,0.117502,True,50,15853,81748,33,TT2,j30,LBMAX_DP,17302,2,0
7,8,0.195615,True,44,23161,143078,33,TT2,j30,LBMAX_DP,27796,54,0
7,9,0.595155,True,60,108094,386343,33,TT2,j30,LBMAX_DP,117477,27810,0
7,10,1.97269,True,49,275732,1200975,33,TT2,j30,LBMAX_DP,393832,65751,0
8,1,0.000360809,True,44,33,152,33,TT2,j30,LBMAX_DP,0,0,0
8,2,0.000414529,True,51,35,181,33,TT2,j30,LBMAX_DP,0,0,0
8,3,0.000615297,True,53,65,316,33,TT2,j30,LBMAX_DP,0,0,0
8,4,0.000386183,True,48,33,180,33,TT2,j30,LBMAX_DP,0,0,0
8,5,0.00132662,True,58,135,712,33,TT2,j30,LBMAX_DP,34,0,0
8,6,0.000453478,True,47,43,214,33,TT2,j30,LBMAX_DP,0,0,0
8,7,0.000448038,True,41,41,204,33,TT2,j30,LBMAX_DP,0,0,0
8,8,0.000338451,True,51,33,149,33,TT2,j30,LBMAX_DP,0,0,0
8,9,0.00893508,True,39,688,5377,33,TT2,j30,LBMAX_DP,544,0,0
8,10,0.000359578,True,67,34,162,33,TT2,j30,LBMAX_DP,0,0,0
9,1,2.6497,True,83,274043,1386008,33,TT2,j30,LBMAX_DP,667189,31362,0
