group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
1,1,300,False,0,15867731,152030642,0,TT2,j60,LBCS_DP,51621756,478,0
1,2,300,False,0,11095584,133079839,0,TT2,j60,LBCS_DP,49240582,396,0
1,3,300,False,0,10927125,117943832,0,TT2,j60,LBCS_DP,42197158,20,0
1,4,300,False,0,13308246,132269307,0,TT2,j60,LBCS_DP,58590258,16,0
1,5,300,False,0,12923335,109473527,0,TT2,j60,LBCS_DP,36826628,2093553,0
1,6,300,False,0,7500373,101964669,0,TT2,j60,LBCS_DP,26029889,0,0
1,7,300,False,0,8342841,108302363,0,TT2,j60,LBCS_DP,32284484,0,0
1,8,300,False,0,15954665,116845311,0,TT2,j60,LBCS_DP,38911703,4446307,0
1,9,300,False,0,11843057,141202290,0,TT2,j60,LBCS_DP,44091596,3767,0
1,10,300,False,0,8985982,118679245,0,TT2,j60,LBCS_DP,31903556,0,0
2,1,4.13666,True,65,360352,2318120,63,TT2,j60,LBCS_DP,665455,72,0
2,2,2.94145,True,82,245517,1638055,63,TT2,j60,LBCS_DP,507122,0,0
2,3,300,False,0,8819852,107843389,0,TT2,j60,LBCS_DP,36423006,0,0
2,4,15.2994,True,78,825084,7234682,63,TT2,j60,LBCS_DP,2367871,1209,0
2,5,300,False,0,12777607,141005994,0,TT2,j60,LBCS_DP,55536721,0,0
2,6,300,False,0,12610335,140559805,0,TT2,j60,LBCS_DP,43998951,196,0
2,7,300,False,0,7611129,95806593,0,TT2,j60,LBCS_DP,31635563,0,0
2,8,300,False,0,10717652,104243496,0,TT2,j60,LBCS_DP,44665892,74,0
2,9,0.00927516,True,65,256,2611,63,TT2,j60,LBCS_DP,140,0,0
2,10,85.325,True,69,3483289,33114457,63,TT2,j60,LBCS_DP,10966262,485735,0
3,1,0.0065552,True,60,224,1835,63,TT2,j60,LBCS_DP,98,0,0
3,2,0.00424376,True,69,227,1583,63,TT2,j60,LBCS_DP,81,0,0
3,3,300,False,0,13809968,131942143,0,TT2,j60,LBCS_DP,59883845,50,0
3,4,0.00152,True,81,63,430,63,TT2,j60,LBCS_DP,0,0,0
3,5,0.454884,True,83,32674,234766,63,TT2,j60,LBCS_DP,49792,0,0
3,6,0.628047,True,57,28322,262497,63,TT2,j60,LBCS_DP,58775,0,0
3,7,300,False,0,10912658,120041681,0,TT2,j60,LBCS_DP,51737231,0,0
3,8,300,False,0,10136786,121839726,0,TT2,j60,LBCS_DP,34207923,0,0
3,9,300,False,0,19881086,146344143,0,TT2,j60,LBCS_DP,74593135,590,0
3,10,300,False,0,13935858,147288168,0,TT2,j60,LBCS_DP,47115340,92,0
4,1,0.00204111,True,84,63,582,63,TT2,j60,LBCS_DP,0,0,0
4,2,0.00195772,True,60,65,547,63,TT2,j60,LBCS_DP,0,0,0
4,3,0.00203395,True,58,63,628,63,TT2,j60,LBCS_DP,0,0,0
4,4,0.0133602,True,65,595,4935,63,TT2,j60,LBCS_DP,626,0,0
4,5,1.44742,True,75,109204,749724,63,TT2,j60,LBCS_DP,256870,0,0
4,6,0.00268898,True,71,93,805,63,TT2,j60,LBCS_DP,9,0,0
4,7,0.00201429,True,67,67,641,63,TT2,j60,LBCS_DP,0,0,0
4,8,258.582,True,65,13141472,138904612,63,TT2,j60,LBCS_DP,61699339,0,0
4,9,0.0820619,True,75,3438,33992,63,TT2,j60,LBCS_DP,3144,0,0
4,10,300,False,0,20205536,151939179,0,TT2,j60,LBCS_DP,76804667,14580,0
5,1,300,False,0,10971505,98780957,0,TT2,j60,LBCS_DP,32088580,2680564,0
5,2,300,False,0,9592645,84605073,0,TT2,j60,LBCS_DP,37877566,767927,0
5,3,300,False,0,7980436,73066197,0,TT2,j60,LBCS_DP,33941924,836067,0
5,4,300,False,0,8820663,81142023,0,TT2,j60,LBCS_DP,30085171,1277372,0
5,5,300,False,0,11219752,78150970,0,TT2,j60,LBCS_DP,36835913,1511822,0
5,6,300,False,0,7176032,86716510,0,TT2,j60,LBCS_DP,17800537,2088,0
5,7,300,False,0,8812779,83382541,0,TT2,j60,LBCS_DP,30123650,653202,0
5,8,300,False,0,7397998,76101864,0,TT2,j60,LBCS_DP,33403572,1197027,0
5,9,300,False,0,7721472,90015666,0,TT2,j60,LBCS_DP,20368574,14081,0
5,10,302.609,False,0,10304845,92617890,0,TT2,j60,LBCS_DP,38387561,67236,0
6,1,300,False,0,6422776,80930417,0,TT2,j60,LBCS_DP,24530646,0,0
6,2,300,False,0,10158425,103140956,0,TT2,j60,LBCS_DP,39161156,0,0
6,3,300,False,0,9834672,106226035,0,TT2,j60,LBCS_DP,42412016,0,0
6,4,300,False,0,6469098,77639335,0,TT2,j60,LBCS_DP,23720070,0,0
6,5,300,False,0,8471833,75013969,0,TT2,j60,LBCS_DP,27833590,0,0
6,6,300,False,0,5064268,73771210,0,TT2,j60,LBCS_DP,20684385,0,0
6,7,300,False,0,5047329,55347761,0,TT2,j60,LBCS_DP,14232955,0,0
6,8,0.559618,True,72,25515,213647,63,TT2,j60,LBCS_DP,50508,1,0
6,9,300,False,0,7487274,81561269,0,TT2,j60,LBCS_DP,30272121,0,0
