group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
1,1,8.21232,True,77,964170,3657301,63,TT2,j60,LBCS_DP,1014856,1057,0,2804604
1,2,300,False,0,25944662,115879669,0,TT2,j60,LBCS_DP,51390283,4539828,0,124152654
1,3,24.2395,True,68,1524962,9715925,63,TT2,j60,LBCS_DP,3001087,31,0,4391841
1,4,300,False,0,23942381,102159162,0,TT2,j60,LBCS_DP,56282162,4140590,0,85782329
1,5,300,False,0,22626378,110597027,0,TT2,j60,LBCS_DP,43876693,646111,0,105196867
1,6,300,False,0,18468591,106242521,0,TT2,j60,LBCS_DP,39340156,292836,0,120753300
1,7,300,False,0,26406625,105595953,0,TT2,j60,LBCS_DP,49384535,8232839,0,119770542
1,8,62.8545,True,75,5802426,22546022,63,TT2,j60,LBCS_DP,9615727,1588861,0,18489694
1,9,300,False,0,26870732,127773437,0,TT2,j60,LBCS_DP,55873021,13525,0,126388726
1,10,300,False,0,26037926,146682730,0,TT2,j60,LBCS_DP,82085362,2979,0,82992939
2,1,0.00976494,True,65,1701,5538,63,TT2,j60,LBCS_DP,1129,0,0,4824
2,2,0.00665105,True,82,407,2232,63,TT2,j60,LBCS_DP,274,0,0,1805
2,3,300,False,0,16298101,102746730,0,TT2,j60,LBCS_DP,33176446,0,0,81798603
2,4,0.000977248,True,78,77,326,63,TT2,j60,LBCS_DP,0,0,0,220
2,5,300,False,0,21257858,128024350,0,TT2,j60,LBCS_DP,57301323,2666,0,98440969
2,6,300,False,0,22634464,116486147,0,TT2,j60,LBCS_DP,53747470,1549,0,120168496
2,7,300.594,False,0,22483036,122310464,0,TT2,j60,LBCS_DP,37332072,0,0,135428811
2,8,0.00235901,True,66,168,900,63,TT2,j60,LBCS_DP,44,0,0,451
2,9,0.000970515,True,65,71,296,63,TT2,j60,LBCS_DP,0,0,0,316
2,10,25.039,True,69,1885517,9931412,63,TT2,j60,LBCS_DP,3889032,228349,0,7859771
3,1,0.00134093,True,60,98,421,63,TT2,j60,LBCS_DP,20,0,0,291
3,2,0.00149029,True,69,185,680,63,TT2,j60,LBCS_DP,122,0,0,1115
3,3,300,False,0,27199758,145164834,0,TT2,j60,LBCS_DP,85072819,6256,0,52233275
3,4,0.00102606,True,81,63,284,63,TT2,j60,LBCS_DP,0,0,0,134
3,5,0.000989972,True,83,63,326,63,TT2,j60,LBCS_DP,0,0,0,140
3,6,0.35802,True,57,22856,147012,63,TT2,j60,LBCS_DP,35212,0,0,65749
3,7,300,False,0,26322548,139050613,0,TT2,j60,LBCS_DP,80290974,318,0,84814356
3,8,300,False,0,22384880,124961198,0,TT2,j60,LBCS_DP,49613257,0,0,97309355
3,9,300,False,0,24967733,137580973,0,TT2,j60,LBCS_DP,79030934,283,0,72219068
3,10,28.849,True,69,2636200,12412680,63,TT2,j60,LBCS_DP,5064325,433607,0,8496884
4,1,0.000750488,True,84,63,217,63,TT2,j60,LBCS_DP,0,0,0,270
4,2,0.00096385,True,60,63,354,63,TT2,j60,LBCS_DP,0,0,0,187
4,3,0.000915517,True,58,63,355,63,TT2,j60,LBCS_DP,0,0,0,250
4,4,0.00298086,True,65,316,1329,63,TT2,j60,LBCS_DP,203,0,0,832
