group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
1,1,7.5624,True,77,964170,3657301,63,TT2,j60,LBMAX_DP,1014856,1057,0,2804604
1,2,300,False,0,27960935,126888657,0,TT2,j60,LBMAX_DP,56389655,4539928,0,135053613
1,3,20.8824,True,68,1524962,9715925,63,TT2,j60,LBMAX_DP,3001087,31,0,4391841
1,4,300,False,0,26092793,112440557,0,TT2,j60,LBMAX_DP,62938148,4420494,0,93244107
1,5,300,False,0,26017815,128519489,0,TT2,j60,LBMAX_DP,50458385,649093,0,119704418
1,6,300,False,0,24839748,114861522,0,TT2,j60,LBMAX_DP,44224777,5160305,0,130037412
1,7,300,False,0,29911582,118662523,0,TT2,j60,LBMAX_DP,56977821,9212173,0,135546781
1,8,52.5778,True,75,5760593,22391842,63,TT2,j60,LBMAX_DP,9561224,1580340,0,18376019
1,9,300,False,0,29272771,140728628,0,TT2,j60,LBMAX_DP,62617548,15844,0,137554762
1,10,300,False,0,26849843,157111357,0,TT2,j60,LBMAX_DP,90581680,2954,0,82703224
2,1,0.00882552,True,65,1701,5538,63,TT2,j60,LBMAX_DP,1129,0,0,4824
2,2,0.00440042,True,82,407,2232,63,TT2,j60,LBMAX_DP,274,0,0,1805
2,3,300,False,0,17931034,112448762,0,TT2,j60,LBMAX_DP,35258633,0,0,90431740
2,4,0.00075009,True,78,77,326,63,TT2,j60,LBMAX_DP,0,0,0,220
2,5,300,False,0,22823742,137195859,0,TT2,j60,LBMAX_DP,61255384,2666,0,106009330
2,6,300,False,0,24609478,127353970,0,TT2,j60,LBMAX_DP,59372569,1649,0,130165553
2,7,300,False,0,23886790,130218774,0,TT2,j60,LBMAX_DP,40279280,0,0,142886594
2,8,0.00190486,True,66,168,900,63,TT2,j60,LBMAX_DP,44,0,0,451
2,9,0.00074557,True,65,71,296,63,TT2,j60,LBMAX_DP,0,0,0,316
2,10,21.0807,True,69,1885517,9931412,63,TT2,j60,LBMAX_DP,3889032,228349,0,7859771
