group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
1,1,300,False,0,5113713,43447427,0,TT2,j90,LBCC_DP,12371586,24,0,59697710
1,2,300,False,0,6209828,44677889,0,TT2,j90,LBCC_DP,16331413,0,0,50543825
1,3,300,False,0,6436391,46616983,0,TT2,j90,LBCC_DP,17451577,0,0,58091621
1,4,300,False,0,7832394,55697854,0,TT2,j90,LBCC_DP,18576526,13,0,69644315
1,5,300,False,0,12418179,69094115,0,TT2,j90,LBCC_DP,26520310,0,0,120183886
1,6,300,False,0,3029765,29449283,0,TT2,j90,LBCC_DP,5989411,0,0,21647358
1,7,300,False,0,10215317,55908298,0,TT2,j90,LBCC_DP,23322138,0,0,102160885
1,8,300,False,0,6921665,46979002,0,TT2,j90,LBCC_DP,14357232,24,0,67881562
1,9,300,False,0,9675486,69324655,0,TT2,j90,LBCC_DP,29556342,0,0,77329519
1,10,300,False,0,7868081,54781104,0,TT2,j90,LBCC_DP,17541455,5,0,50612672
2,1,7.00639,True,96,85888,878663,93,TT2,j90,LBCC_DP,211203,0,0,480111
2,2,0.0218771,True,114,327,2102,93,TT2,j90,LBCC_DP,162,0,0,1550
2,3,300,False,0,6874086,59802332,0,TT2,j90,LBCC_DP,21363393,0,0,42097733
2,4,122.653,True,70,6011147,36580363,93,TT2,j90,LBCC_DP,13838479,0,0,31443947
2,5,0.0891559,True,100,7897,27079,93,TT2,j90,LBCC_DP,9039,0,0,21073
2,6,0.0356582,True,67,2886,10029,93,TT2,j90,LBCC_DP,1789,0,0,4872
2,7,0.00905522,True,92,253,1732,93,TT2,j90,LBCC_DP,0,0,0,824
2,8,11.7266,True,82,225683,1520766,93,TT2,j90,LBCC_DP,499835,0,0,2166201
2,9,180.205,True,79,5828465,32815287,93,TT2,j90,LBCC_DP,11880533,740,0,17453857
2,10,19.2728,True,80,274773,2126385,93,TT2,j90,LBCC_DP,371636,0,0,2306501
3,1,0.00312544,True,81,107,528,93,TT2,j90,LBCC_DP,1,0,0,460
3,2,300,False,0,5362357,48360656,0,TT2,j90,LBCC_DP,19845135,0,0,18462186
3,3,0.284324,True,71,2659,20281,93,TT2,j90,LBCC_DP,3993,0,0,9847
3,4,0.00256833,True,104,101,465,93,TT2,j90,LBCC_DP,0,0,0,412
3,5,0.0150287,True,75,229,1779,93,TT2,j90,LBCC_DP,0,0,0,937
3,6,73.3889,True,68,1842640,15052659,93,TT2,j90,LBCC_DP,7034754,0,0,10727899
3,7,0.00282771,True,87,95,502,93,TT2,j90,LBCC_DP,0,0,0,424
3,8,300,False,0,11104083,68426437,0,TT2,j90,LBCC_DP,32920485,0,0,89197731
3,9,0.00350009,True,61,101,665,93,TT2,j90,LBCC_DP,0,0,0,684
3,10,300,False,0,6771932,51361528,0,TT2,j90,LBCC_DP,21888352,0,0,46432331
4,1,0.00282389,True,93,93,462,93,TT2,j90,LBCC_DP,0,0,0,485
4,2,0.0318411,True,89,955,5285,93,TT2,j90,LBCC_DP,823,0,0,3062
4,3,0.0687552,True,67,1322,8814,93,TT2,j90,LBCC_DP,783,0,0,9735
4,4,0.00282058,True,92,93,465,93,TT2,j90,LBCC_DP,0,0,0,499
4,5,0.00278983,True,88,93,523,93,TT2,j90,LBCC_DP,0,0,0,451
4,6,0.0029879,True,78,93,535,93,TT2,j90,LBCC_DP,0,0,0,590
4,7,0.0028537,True,80,93,560,93,TT2,j90,LBCC_DP,0,0,0,539
4,8,0.0036208,True,69,93,612,93,TT2,j90,LBCC_DP,0,0,0,547
4,9,0.00342384,True,79,101,503,93,TT2,j90,LBCC_DP,0,0,0,588
4,10,0.00369892,True,68,93,714,93,TT2,j90,LBCC_DP,0,0,0,460
5,1,300,False,0,3966752,33912591,0,TT2,j90,LBCC_DP,4159951,0,0,32705714
5,2,300,False,0,3997158,29280975,0,TT2,j90,LBCC_DP,7536410,0,0,31353955
5,3,300,False,0,5711311,43361872,0,TT2,j90,LBCC_DP,9698391,186,0,37297302
5,4,300,False,0,4332175,33669278,0,TT2,j90,LBCC_DP,7178026,68049,0,38889391
5,5,300,False,0,5144660,36362007,0,TT2,j90,LBCC_DP,8737953,349,0,31148721
5,6,300,False,0,3590933,32101663,0,TT2,j90,LBCC_DP,7069954,2186,0,29435566
5,7,300,False,0,8296086,55887889,0,TT2,j90,LBCC_DP,15112329,189,0,44925518
5,8,300,False,0,4881102,34938709,0,TT2,j90,LBCC_DP,8387719,4622,0,34562713
5,9,300,False,0,4954200,31735652,0,TT2,j90,LBCC_DP,7490532,5560,0,35702540
5,10,300,False,0,4681270,35974856,0,TT2,j90,LBCC_DP,6850519,0,0,30464261
6,1,9.65773,True,82,322545,1719611,93,TT2,j90,LBCC_DP,480372,0,0,608764
